"Ticker","Period","Date","Open","High","Low","Close","Volume"
"AAL","Month","Aug 4, 2023",16.540000915527344,16.540000915527344,15.699999809265137,15.84000015258789,125329505
"AAL","Month","Jul 31, 2023",17.860000610351562,19.079999923706055,16.190000534057617,16.75,492058234
"AAL","Month","Jun 30, 2023",14.869999885559082,17.989999771118164,14.609999656677246,17.940000534057617,460292691
"AAL","Month","May 31, 2023",13.600000381469727,15.104999542236328,13.350000381469727,14.779999732971191,522167954
"AAL","Month","Apr 28, 2023",14.520000457763672,14.619999885559082,12.649999618530273,13.640000343322754,580831628
"AAL","Month","Mar 31, 2023",14.609999656677246,14.760000228881836,14.5600004196167,14.75,12348748
"AAL","Month","Feb 28, 2023",15.55,16.05,15.53,15.98,15597789
"AAL","Month","Jan 31, 2023",12.91,17.64,12.52,16.14,678415652
"AAL","Month","Dec 30, 2022",14.46,14.74,12.23,12.72,524327932
"AAL","Month","Nov 30, 2022",14.44,15.18,13.2,14.43,524132362
"AAL","Month","Oct 31, 2022",12.02,14.48,11.65,14.18,804739031
"AAL","Month","Sep 30, 2022",12.87,14.67,11.85,12.04,689481212
"AAL","Month","Aug 31, 2022",13.67,15.71,12.96,12.99,577886825
"AAL","Month","Jul 29, 2022",12.78,15.42,12.52,13.71,741058078
"AAL","Month","Jun 30, 2022",18.07,18.1,11.93,12.68,800216334
"AAL","Month","May 31, 2022",18.75,19.64,15.09,17.87,674796073
"AAL","Month","Apr 29, 2022",18.3,21.42,16.37,18.77,770114078
"AAL","Month","Mar 31, 2022",16.97,18.45,12.44,18.25,1208082628
"AAL","Month","Feb 28, 2022",16.56,19.11,15.48,17.25,761722695
"AAL","Month","Jan 31, 2022",18.23,19.76,14.9,16.47,814322924
"AAL","Month","Dec 31, 2021",17.94,18.87,16.15,17.96,900614804
"AAL","Month","Nov 30, 2021",19.09,22.35,16.9,17.69,715400762
"AAL","Month","Oct 29, 2021",21.,22.08,18.85,19.2,574168767
"AAL","Month","Sep 30, 2021",20.01,22.19,18.64,20.52,684968607
"AAL","Month","Aug 31, 2021",20.49,21.49,18.29,19.94,645843324
"AAL","Month","Jul 30, 2021",21.47,22.16,18.28,20.38,687372745
"AAL","Month","Jun 30, 2021",24.68,26.04,20.94,21.21,617245255
"AAL","Month","May 28, 2021",21.87,24.82,20.62,24.24,675687739
"AAL","Month","Apr 30, 2021",24.02,24.85,19.64,21.72,740787381
"AAL","Month","Mar 31, 2021",21.75,26.09,18.94,23.9,1077724197
"AAL","Month","Feb 26, 2021",17.25,22.44,16.33,20.94,893169970
"AAL","Month","Jan 29, 2021",15.85,21.77,14.71,17.17,1444467441
"AAL","Month","Dec 31, 2020",14.42,18.63,13.85,15.77,1861207817
"AAL","Month","Nov 30, 2020",11.32,15.56,10.87,14.13,1700590468
"AAL","Month","Oct 30, 2020",12.45,13.68,10.63,11.28,1349577414
"AAL","Month","Sep 30, 2020",12.86,14.16,11.22,12.29,1200124582
"AAL","Month","Aug 31, 2020",11.07,15.1,10.71,13.05,1496448940
"AAL","Month","Jul 31, 2020",13.48,14.29,10.8,11.12,1632402258
"AAL","Month","Jun 30, 2020",10.79,22.8,10.62,13.07,3103907239
"AAL","Month","May 29, 2020",11.41,12.55,8.25,10.5,1375701834
"AAL","Month","Apr 30, 2020",11.45,13.4,9.09,12.01,1750737457
"AAL","Month","Mar 31, 2020",19.05,19.79,10.01,12.19,1304570196
"AAL","Month","Feb 28, 2020",26.93,30.78,18.77,19.05,263006294
"AAL","Month","Jan 31, 2020",28.98,29.3,25.37,26.84,226653319
"AAL","Month","Dec 31, 2019",28.79,29.81,26.68,28.68,133978748
"AAL","Month","Nov 29, 2019",30.3,31.58,27.84,28.74,115170576
"AAL","Month","Oct 31, 2019",27.08,31.67,24.51,30.06,194093193
"AAL","Month","Sep 30, 2019",26.16,30.34,25.95,26.97,142276606
"AAL","Month","Aug 30, 2019",30.43,30.57,24.23,26.31,168752200
"AAL","Month","Jul 31, 2019",33.14,34.99,30.21,30.51,129012703
"AAL","Month","Jun 28, 2019",27.12,33.81,27.02,32.61,124910140
"AAL","Month","May 31, 2019",34.3,34.9,27.1,27.23,133159340
"AAL","Month","Apr 30, 2019",31.98,35.24,31.7,34.18,128701736
"AAL","Month","Mar 29, 2019",35.58,35.96,29.97,31.76,152767429
"AAL","Month","Feb 28, 2019",35.77,37.23,34.77,35.63,128453783
"AAL","Month","Jan 31, 2019",31.46,37.08,28.81,35.77,212855044
"AAL","Month","Dec 31, 2018",40.57,40.58,29.59,32.11,165850753
"AAL","Month","Nov 30, 2018",35.3,40.2,34.84,40.16,182751727
"AAL","Month","Oct 31, 2018",41.41,41.75,30.24,35.08,273886553
"AAL","Month","Sep 28, 2018",40.32,43.89,38.15,41.33,116499803
"AAL","Month","Aug 31, 2018",39.38,41.04,36.42,40.48,127674295
"AAL","Month","Jul 31, 2018",37.74,40.86,35.64,39.54,159742412
"AAL","Month","Jun 29, 2018",44.05,45.02,37.06,37.96,125838597
"AAL","Month","May 31, 2018",42.86,45.82,41.47,43.54,130062354
"AAL","Month","Apr 30, 2018",51.77,53.08,40.65,42.93,140652247
"AAL","Month","Mar 29, 2018",54.14,57.44,50.05,51.96,82819921
"AAL","Month","Feb 28, 2018",54.,55.6,46.33,54.25,91995227
"AAL","Month","Jan 31, 2018",52.33,59.08,51.9,54.32,121867885
"AAL","Month","Dec 29, 2017",49.67,53.47,48.69,52.03,80012095
"AAL","Month","Nov 30, 2017",48.,51.16,45.27,50.49,73188037
"AAL","Month","Oct 31, 2017",47.52,53.74,46.79,46.82,118566288
"AAL","Month","Sep 29, 2017",44.85,48.6,42.61,47.49,131325139
"AAL","Month","Aug 31, 2017",51.13,52.,42.67,44.74,122959810
"AAL","Month","Jul 31, 2017",50.78,54.48,48.73,50.44,111659707
"AAL","Month","Jun 30, 2017",48.5,51.95,48.01,50.32,133266730
"AAL","Month","May 31, 2017",42.76,48.82,42.01,48.41,130919056
"AAL","Month","Apr 28, 2017",42.33,47.39,40.82,42.62,136321182
"AAL","Month","Mar 31, 2017",46.79,48.13,39.21,42.3,177947053
"AAL","Month","Feb 28, 2017",44.75,48.05,43.57,46.36,110361270
"AAL","Month","Jan 31, 2017",47.28,50.,43.74,44.25,147289715
"AAL","Month","Dec 30, 2016",46.2,50.64,45.58,46.69,122810423
"AAL","Month","Nov 30, 2016",40.51,47.14,39.24,46.44,148409350
"AAL","Month","Oct 31, 2016",36.46,40.93,36.33,40.6,176375305
"AAL","Month","Sep 30, 2016",36.53,39.52,33.9,36.61,162150327
"AAL","Month","Aug 31, 2016",35.54,37.35,33.,36.3,181410357
"AAL","Month","Jul 29, 2016",28.26,36.74,27.12,35.5,248243493
"AAL","Month","Jun 30, 2016",31.94,33.58,24.85,28.31,274277522
"AAL","Month","May 31, 2016",34.99,35.17,30.99,31.91,204488301
"AAL","Month","Apr 29, 2016",40.13,41.76,34.1,34.69,206584339
