"Ticker","Period","Date","Open","High","Low","Close","Volume"
"AAP","Month","Aug 4, 2023",73.91999816894531,74.25,69.05999755859375,71.01000213623047,8428632
"AAP","Month","Jul 31, 2023",70.2300033569336,74.69999694824219,66.9000015258789,74.38999938964844,42510512
"AAP","Month","Jun 30, 2023",71.7699966430664,71.9574966430664,63.560001373291016,70.30000305175781,81508643
"AAP","Month","May 31, 2023",125.58999633789062,127.30999755859375,72.5999984741211,72.88999938964844,43324982
"AAP","Month","Apr 28, 2023",121.87999725341797,129.89999389648438,119.1500015258789,125.52999877929688,21059330
"AAP","Month","Mar 31, 2023",119.9000015258789,121.73999786376953,119.6500015258789,121.61000061035156,1029242
"AAP","Month","Feb 28, 2023",145.,149.17,144.09,144.96,2934261
"AAP","Month","Jan 31, 2023",146.16,155.74,142.86,152.28,18194287
"AAP","Month","Dec 30, 2022",151.8,153.14,138.52,147.03,20396691
"AAP","Month","Nov 30, 2022",191.18,194.35,145.14,150.99,28359509
"AAP","Month","Oct 31, 2022",157.25,192.81,157.22,189.92,15499084
"AAP","Month","Sep 30, 2022",168.,183.63,154.46,156.34,16960351
"AAP","Month","Aug 31, 2022",192.3,212.25,168.04,168.64,17810351
"AAP","Month","Jul 29, 2022",173.4,194.2,172.09,193.62,13667326
"AAP","Month","Jun 30, 2022",191.62,192.04,164.,173.09,16756840
"AAP","Month","May 31, 2022",200.49,217.35,172.86,189.86,20863174
"AAP","Month","Apr 29, 2022",207.76,231.43,198.82,199.63,15411511
"AAP","Month","Mar 31, 2022",204.23,216.39,197.28,206.96,21339273
"AAP","Month","Feb 28, 2022",231.11,237.39,190.79,204.48,19720017
"AAP","Month","Jan 31, 2022",240.64,244.55,221.48,231.51,12977167
"AAP","Month","Dec 31, 2021",223.64,242.29,218.22,239.88,14602331
"AAP","Month","Nov 30, 2021",226.29,243.05,220.,220.72,13501477
"AAP","Month","Oct 29, 2021",209.53,235.32,205.26,225.52,11999356
"AAP","Month","Sep 30, 2021",203.8,220.12,197.5,208.89,12409629
"AAP","Month","Aug 31, 2021",213.19,217.66,200.29,202.85,13602550
"AAP","Month","Jul 30, 2021",205.81,217.69,202.64,212.06,11399772
"AAP","Month","Jun 30, 2021",191.5,207.6,188.79,205.14,19732328
"AAP","Month","May 28, 2021",201.34,210.18,187.16,189.73,16741425
"AAP","Month","Apr 30, 2021",183.25,202.54,179.6,200.16,16102841
"AAP","Month","Mar 31, 2021",162.13,187.91,161.19,183.49,21374186
"AAP","Month","Feb 26, 2021",151.13,169.41,150.03,160.35,21888370
"AAP","Month","Jan 29, 2021",157.9,177.92,143.15,149.14,21413843
"AAP","Month","Dec 31, 2020",149.07,163.7,147.5,157.51,20576493
"AAP","Month","Nov 30, 2020",149.49,164.08,142.59,147.7,22089788
"AAP","Month","Oct 30, 2020",153.56,160.77,144.23,147.28,14963877
"AAP","Month","Sep 30, 2020",155.78,159.56,142.46,153.5,14917072
"AAP","Month","Aug 31, 2020",151.54,170.5,149.71,156.31,19173289
"AAP","Month","Jul 31, 2020",142.36,154.77,131.9,150.14,17905106
"AAP","Month","Jun 30, 2020",139.56,153.47,130.33,142.45,20059810
"AAP","Month","May 29, 2020",118.02,142.48,115.,139.32,22646160
"AAP","Month","Apr 30, 2020",89.63,126.79,81.93,120.91,22440360
"AAP","Month","Mar 31, 2020",133.45,137.35,71.33,93.32,30363664
"AAP","Month","Feb 28, 2020",132.78,150.66,127.85,132.98,21007845
"AAP","Month","Jan 31, 2020",160.47,160.95,131.5,131.75,22982983
"AAP","Month","Dec 31, 2019",157.49,162.06,150.5,160.16,21332947
"AAP","Month","Nov 29, 2019",163.01,171.43,153.76,157.08,21762411
"AAP","Month","Oct 31, 2019",165.59,170.55,153.25,162.48,18273753
"AAP","Month","Sep 30, 2019",137.19,165.97,136.77,165.4,19370577
"AAP","Month","Aug 30, 2019",150.52,153.52,130.09,137.95,34674211
"AAP","Month","Jul 31, 2019",155.71,163.23,149.5,150.64,21182599
"AAP","Month","Jun 28, 2019",154.41,157.7,149.03,154.14,20293025
"AAP","Month","May 31, 2019",166.13,170.99,151.57,155.,30526468
"AAP","Month","Apr 30, 2019",172.79,182.56,165.25,166.32,18299753
"AAP","Month","Mar 29, 2019",162.25,171.57,150.5,170.53,23155600
"AAP","Month","Feb 28, 2019",159.9,178.69,156.12,161.78,26155883
"AAP","Month","Jan 31, 2019",156.16,168.78,150.05,159.2,29053611
"AAP","Month","Dec 31, 2018",178.97,181.73,148.37,157.46,22088735
"AAP","Month","Nov 30, 2018",159.96,186.15,158.1,177.71,24346812
"AAP","Month","Oct 31, 2018",169.02,171.5,154.02,159.76,26507064
"AAP","Month","Sep 28, 2018",164.51,171.33,159.,168.33,18880482
"AAP","Month","Aug 31, 2018",140.52,165.07,139.4,164.03,24850556
"AAP","Month","Jul 31, 2018",135.,145.2,133.42,141.23,14777249
"AAP","Month","Jun 29, 2018",128.84,143.42,127.26,135.7,21237376
"AAP","Month","May 31, 2018",113.86,129.41,111.86,128.62,27243546
"AAP","Month","Apr 30, 2018",118.61,119.18,102.15,114.45,24059897
"AAP","Month","Mar 29, 2018",114.24,120.1,110.34,118.55,21047584
"AAP","Month","Feb 28, 2018",116.24,119.3,103.34,114.25,31468859
"AAP","Month","Jan 31, 2018",100.9,123.9,99.71,116.99,30766650
"AAP","Month","Dec 29, 2017",100.74,107.79,96.57,99.69,26814240
"AAP","Month","Nov 30, 2017",82.33,102.89,78.81,101.,47199729
"AAP","Month","Oct 31, 2017",99.58,100.1,81.13,81.74,43011024
"AAP","Month","Sep 29, 2017",98.31,100.71,91.46,99.2,36524962
"AAP","Month","Aug 31, 2017",112.,115.4,82.21,97.9,64262640
"AAP","Month","Jul 31, 2017",117.45,118.73,99.13,112.01,39701377
"AAP","Month","Jun 30, 2017",134.1,138.23,115.62,116.59,35920423
"AAP","Month","May 31, 2017",143.15,151.72,129.4,133.63,36336248
"AAP","Month","Apr 28, 2017",148.4,149.2,140.12,142.14,19523127
"AAP","Month","Mar 31, 2017",158.59,158.59,146.18,148.26,22654587
"AAP","Month","Feb 28, 2017",163.99,169.55,155.18,156.61,27618019
"AAP","Month","Jan 31, 2017",170.78,177.5,162.27,164.24,17336738
"AAP","Month","Dec 30, 2016",169.18,177.83,167.32,169.12,15394303
"AAP","Month","Nov 30, 2016",139.88,174.31,134.08,169.72,32188993
"AAP","Month","Oct 31, 2016",148.53,149.82,138.02,140.08,18407333
"AAP","Month","Sep 30, 2016",158.2,162.28,145.15,149.12,23733888
"AAP","Month","Aug 31, 2016",169.26,171.95,155.89,157.38,25966879
"AAP","Month","Jul 29, 2016",162.16,172.87,160.05,169.86,16241025
"AAP","Month","Jun 30, 2016",153.84,161.78,148.51,161.63,26788908
"AAP","Month","May 31, 2016",156.34,157.76,132.98,153.84,28353026
"AAP","Month","Apr 29, 2016",160.41,164.13,153.5,156.1,12810314
"AAP","Month","Mar 31, 2016",149.92,165.99,149.17,160.34,15608052
"AAP","Month","Feb 29, 2016",151.7,156.34,131.59,148.44,24174155
"AAP","Month","Jan 29, 2016",149.25,154.48,137.66,152.05,21189227
"AAP","Month","Dec 31, 2015",162.99,164.25,144.73,150.51,30739552
"AAP","Month","Nov 30, 2015",199.14,201.24,159.69,162.73,26161504
"AAP","Month","Oct 30, 2015",190.28,199.39,185.16,198.43,16752134
"AAP","Month","Sep 30, 2015",172.53,192.5,169.4,189.53,18375750
"AAP","Month","Aug 31, 2015",174.93,192.27,151.3,175.25,27556690
"AAP","Month","Jul 31, 2015",160.59,175.,159.12,174.21,30088761
"AAP","Month","Jun 30, 2015",154.28,165.16,152.2,159.29,15682123
"AAP","Month","May 29, 2015",143.09,161.55,142.63,153.22,23058203
"AAP","Month","Apr 30, 2015",147.78,154.66,142.9,143.,21068725
"AAP","Month","Mar 31, 2015",154.71,156.6,145.1,149.69,19275738
"AAP","Month","Feb 27, 2015",159.,165.,148.5,154.93,21953387
"AAP","Month","Jan 30, 2015",160.85,163.46,147.2,159.,16230522
"AAP","Month","Dec 31, 2014",146.41,163.36,146.13,159.28,16632736
"AAP","Month","Nov 28, 2014",148.16,149.84,137.17,147.08,17437905
"AAP","Month","Oct 31, 2014",129.89,147.25,129.08,146.96,19588869
"AAP","Month","Sep 30, 2014",137.14,139.58,128.2,130.3,12613145
"AAP","Month","Aug 29, 2014",121.32,138.06,119.71,136.42,16052866
"AAP","Month","Jul 31, 2014",135.86,135.95,121.03,121.11,13998424
"AAP","Month","Jun 30, 2014",124.22,136.12,123.2,134.92,16626697
"AAP","Month","May 30, 2014",124.07,128.45,118.51,124.17,17926587
"AAP","Month","Apr 30, 2014",126.96,128.49,115.76,121.29,14865647
"AAP","Month","Mar 31, 2014",125.92,129.99,122.07,126.5,16189110
"AAP","Month","Feb 28, 2014",115.44,129.1,109.58,127.36,22294221
"AAP","Month","Jan 31, 2014",110.36,120.31,109.29,114.81,16162790
"AAP","Month","Dec 31, 2013",101.35,111.94,100.94,110.68,18666034
"AAP","Month","Nov 29, 2013",98.26,102.84,96.58,101.01,13039177
"AAP","Month","Oct 31, 2013",82.7,102.82,80.28,99.18,24555991
"AAP","Month","Sep 30, 2013",81.35,82.82,78.91,82.68,11780690
"AAP","Month","Aug 30, 2013",83.17,84.93,79.33,80.07,16011841
"AAP","Month","Jul 31, 2013",81.72,84.16,81.03,82.49,12106639
"AAP","Month","Jun 28, 2013",81.54,84.96,79.47,81.17,12641823
"AAP","Month","May 31, 2013",83.85,88.74,81.51,81.52,13260934
"AAP","Month","Apr 30, 2013",82.54,84.01,77.98,83.88,20014255
"AAP","Month","Mar 28, 2013",76.37,83.07,75.62,82.65,19103624
"AAP","Month","Feb 28, 2013",73.8,81.44,72.14,76.34,22281831
"AAP","Month","Jan 31, 2013",73.49,76.71,71.48,73.52,13746718
"AAP","Month","Dec 31, 2012",73.51,75.44,70.02,72.35,14026892
"AAP","Month","Nov 30, 2012",70.64,84.,70.08,73.15,29244752
"AAP","Month","Oct 31, 2012",68.53,71.12,64.36,70.94,17460198
"AAP","Month","Sep 28, 2012",71.12,72.13,66.91,68.44,19577948
"AAP","Month","Aug 31, 2012",70.49,73.06,66.31,71.12,26637336
"AAP","Month","Jul 31, 2012",68.4,74.39,66.97,70.15,26220148
"AAP","Month","Jun 29, 2012",71.51,74.87,60.87,68.22,31747712
"AAP","Month","May 31, 2012",91.26,92.52,66.03,72.94,37501726
"AAP","Month","Apr 30, 2012",88.75,93.08,87.89,91.8,15858315
"AAP","Month","Mar 30, 2012",85.73,91.05,85.25,88.57,20518285
"AAP","Month","Feb 29, 2012",77.08,87.49,75.69,85.37,29136474
"AAP","Month","Jan 31, 2012",71.14,77.07,68.79,76.64,14730154
"AAP","Month","Dec 30, 2011",68.94,71.69,66.71,69.63,14900451
"AAP","Month","Nov 30, 2011",63.51,71.,63.02,69.22,20084047
"AAP","Month","Oct 31, 2011",57.83,66.93,55.61,65.07,14689965
"AAP","Month","Sep 30, 2011",60.8,63.59,57.83,58.1,19583409
"AAP","Month","Aug 31, 2011",55.44,61.25,49.5,60.72,38702855
"AAP","Month","Jul 29, 2011",58.44,60.,54.15,54.97,26205794
"AAP","Month","Jun 30, 2011",62.14,62.14,56.58,58.49,33022554
"AAP","Month","May 31, 2011",65.29,72.32,61.35,62.1,33594094
"AAP","Month","Apr 29, 2011",65.98,68.85,63.33,65.46,17512146
"AAP","Month","Mar 31, 2011",62.99,66.86,61.99,65.62,22153628
"AAP","Month","Feb 28, 2011",64.22,67.,60.35,62.68,26486887
"AAP","Month","Jan 31, 2011",66.5,66.74,60.09,63.94,20181300
