"Ticker","Period","Date","Open","High","Low","Close","Volume"
"AAP","Week","Aug 22, 2023",69.68000030517578,69.98999786376953,66.55500030517578,67.33999633789062,6024976
"AAP","Week","Aug 18, 2023",71.5999984741211,71.9990005493164,68.68000030517578,69.83000183105469,9152641
"AAP","Week","Aug 11, 2023",71.0999984741211,73.05989837646484,69.33000183105469,72.27999877929688,7291594
"AAP","Week","Aug 4, 2023",73.56999969482422,74.69999694824219,69.05999755859375,71.01000213623047,10148792
"AAP","Week","Jul 28, 2023",73.7300033569336,74.19999694824219,72.97000122070312,73.16999816894531,1691638
"AAP","Week","Jul 21, 2023",70.66999816894531,72.5199966430664,68.86000061035156,70.7300033569336,10675060
"AAP","Week","Jul 14, 2023",67.1500015258789,71.55000305175781,66.9000015258789,70.63999938964844,11954774
"AAP","Week","Jul 7, 2023",70.2300033569336,71.63800048828125,68.77999877929688,69.37999725341797,8545311
"AAP","Week","Jun 30, 2023",65.98999786376953,70.96600341796875,65.94999694824219,70.30000305175781,10929464
"AAP","Week","Jun 23, 2023",69.22000122070312,69.83999633789062,65.6500015258789,65.66999816894531,12525980
"AAP","Week","Jun 16, 2023",64.70999908447266,71.59500122070312,64.19999694824219,69.22000122070312,22423404
"AAP","Week","Jun 9, 2023",67.5,68.4000015258789,63.560001373291016,63.58000183105469,19078970
"AAP","Week","Jun 2, 2023",112.33999633789062,112.56999969482422,66.2699966430664,67.55999755859375,40612504
"AAP","Week","May 26, 2023",118.2300033569336,119.87000274658203,109.76000213623047,112.1500015258789,6118864
"AAP","Week","May 19, 2023",120.61000061035156,121.2300033569336,117.08999633789062,117.41000366210938,962947
"AAP","Week","May 12, 2023",123.95,127.31,121.62,122.86,3805723
"AAP","Week","May 5, 2023",125.59,126.51,120.22,123.77,4460764
"AAP","Week","Apr 28, 2023",127.73,128.,121.71,125.53,4430106
"AAP","Week","Apr 21, 2023",129.38,129.9,127.87,128.21,1142194
"AAP","Week","Apr 14, 2023",123.88,124.84,122.45,123.6,843809
"AAP","Week","Mar 31, 2023",111.95,121.74,111.95,121.61,6549291
"AAP","Week","Mar 24, 2023",110.94,111.2,109.06,110.83,2010008
"AAP","Week","Mar 17, 2023",126.26,127.57,117.89,119.4,12258548
"AAP","Week","Mar 10, 2023",139.04,139.23,127.48,128.04,6888574
"AAP","Week","Mar 3, 2023",139.14,149.17,137.,138.48,11492547
"AAP","Week","Feb 24, 2023",140.28,140.76,137.93,138.85,2080299
"AAP","Week","Feb 17, 2023",149.88,153.14,147.87,149.99,5393274
"AAP","Week","Feb 10, 2023",151.,155.01,147.68,151.8,4918924
"AAP","Week","Feb 3, 2023",147.68,158.22,147.68,152.17,5131746
"AAP","Week","Jan 27, 2023",148.3,151.91,143.22,147.44,4574926
"AAP","Week","Jan 20, 2023",150.22,151.,142.86,147.49,3315719
"AAP","Week","Jan 13, 2023",154.03,155.12,148.9,151.03,3844635
"AAP","Week","Jan 6, 2023",146.16,155.74,146.,154.02,3655730
"AAP","Week","Dec 30, 2022",143.28,147.45,141.83,147.03,3126560
"AAP","Week","Dec 23, 2022",140.75,143.59,138.52,143.28,3631449
"AAP","Week","Dec 16, 2022",145.87,149.07,138.79,140.16,5957413
"AAP","Week","Dec 9, 2022",151.79,152.79,143.72,145.9,5428606
"AAP","Week","Dec 2, 2022",149.2,153.14,145.14,153.03,5717117
"AAP","Week","Nov 25, 2022",147.61,151.4,146.37,150.,5578532
"AAP","Week","Nov 18, 2022",186.97,189.74,145.59,147.5,12061595
"AAP","Week","Nov 11, 2022",181.69,187.58,175.24,186.39,4056162
"AAP","Week","Nov 4, 2022",190.61,194.35,178.1,181.07,3903708
"AAP","Week","Oct 28, 2022",173.5,190.99,173.05,190.67,3724639
"AAP","Week","Oct 21, 2022",170.7,175.56,169.11,171.34,3957902
"AAP","Week","Oct 14, 2022",162.02,173.32,160.84,168.57,3583456
"AAP","Week","Oct 7, 2022",157.25,169.6,157.22,161.32,3528145
"AAP","Week","Sep 30, 2022",160.89,164.44,154.46,156.34,3302136
"AAP","Week","Sep 23, 2022",167.44,169.68,157.79,160.5,4174899
"AAP","Week","Sep 16, 2022",182.,183.63,165.78,166.8,5276930
"AAP","Week","Sep 9, 2022",172.29,181.96,170.69,180.65,2707575
"AAP","Week","Sep 2, 2022",171.69,175.08,167.57,171.73,4311877
"AAP","Week","Aug 26, 2022",204.99,204.99,173.57,173.59,7312701
"AAP","Week","Aug 19, 2022",201.93,212.25,201.03,207.02,2925934
"AAP","Week","Aug 12, 2022",194.64,202.58,191.69,202.53,2352795
"AAP","Week","Aug 5, 2022",192.3,197.26,189.82,193.42,2405855
"AAP","Week","Jul 29, 2022",191.85,194.2,179.15,193.62,3307607
"AAP","Week","Jul 22, 2022",190.,193.02,184.89,191.23,3405772
"AAP","Week","Jul 15, 2022",182.9,190.,180.62,188.71,3387122
"AAP","Week","Jul 8, 2022",172.35,185.59,172.09,182.9,2782385
"AAP","Week","Jul 1, 2022",184.18,186.23,171.91,173.64,3979079
"AAP","Week","Jun 24, 2022",169.75,183.78,167.94,183.1,3300161
"AAP","Week","Jun 17, 2022",174.,175.83,164.,167.81,5007559
"AAP","Week","Jun 10, 2022",191.71,191.88,178.81,179.43,3333709
"AAP","Week","Jun 3, 2022",191.23,192.04,185.9,190.73,2908254
"AAP","Week","May 27, 2022",182.07,194.82,172.86,193.05,7179383
"AAP","Week","May 20, 2022",210.57,217.35,176.72,181.89,5247821
