"Ticker","Period","Date","Open","High","Low","Close","Volume"
"ABBV","Week","Aug 22, 2023",149.7100067138672,150.35000610351562,147.97000122070312,148.24000549316406,7154833
"ABBV","Week","Aug 18, 2023",153.02000427246094,153.60000610351562,149.22999572753906,150.13999938964844,18758800
"ABBV","Week","Aug 11, 2023",148.,153.5,147.8000030517578,152.17999267578125,18282369
"ABBV","Week","Aug 4, 2023",150.42999267578125,150.8699951171875,147.16000366210938,147.72999572753906,28182404
"ABBV","Week","Jul 28, 2023",149.9199981689453,151.75999450683594,148.55499267578125,150.85000610351562,8000588
"ABBV","Week","Jul 21, 2023",135.82000732421875,144.17999267578125,134.56100463867188,143.74000549316406,26874782
"ABBV","Week","Jul 14, 2023",135.41000366210938,136.61500549316406,132.6999969482422,136.00999450683594,25418352
"ABBV","Week","Jul 7, 2023",134.,138.27999877929688,133.14999389648438,135.5,22542230
"ABBV","Week","Jun 30, 2023",136.14999389648438,136.14999389648438,130.9600067138672,134.72999572753906,34878917
"ABBV","Week","Jun 23, 2023",137.10000610351562,138.9499969482422,134.67999267578125,135.9199981689453,22920390
"ABBV","Week","Jun 16, 2023",139.5800018310547,139.6699981689453,135.4600067138672,138.63999938964844,36476919
"ABBV","Week","Jun 9, 2023",137.,139.18600463867188,134.25999450683594,138.17999267578125,22774392
"ABBV","Week","Jun 2, 2023",135.49000549316406,138.7100067138672,131.10000610351562,136.8699951171875,38807745
"ABBV","Week","May 26, 2023",145.47000122070312,146.66000366210938,137.10000610351562,137.55999755859375,27709856
"ABBV","Week","May 19, 2023",143.86000061035156,145.8000030517578,143.8000030517578,145.11000061035156,5610287
"ABBV","Week","May 12, 2023",148.15,148.46,145.15,147.15,19845802
"ABBV","Week","May 5, 2023",150.84,155.02,146.35,148.03,27694443
"ABBV","Week","Apr 28, 2023",162.57,166.2,147.16,151.12,39614358
"ABBV","Week","Apr 21, 2023",162.59,163.19,162.02,162.41,4812336
"ABBV","Week","Apr 14, 2023",162.64,163.,160.93,161.59,3473284
"ABBV","Week","Mar 31, 2023",158.83,159.7,156.36,159.37,19973508
"ABBV","Week","Mar 24, 2023",155.28,158.48,154.59,158.02,4678822
"ABBV","Week","Mar 17, 2023",149.,156.07,149.,154.22,69690229
"ABBV","Week","Mar 10, 2023",155.79,156.46,146.57,149.71,26695156
"ABBV","Week","Mar 3, 2023",153.26,156.17,152.37,156.06,29297734
"ABBV","Week","Feb 24, 2023",151.3,152.98,150.9,152.71,5621293
"ABBV","Week","Feb 17, 2023",152.02,154.,148.61,151.31,24233958
"ABBV","Week","Feb 10, 2023",145.74,153.7,143.66,152.05,36626245
"ABBV","Week","Feb 3, 2023",145.87,147.85,143.44,145.2,28355884
"ABBV","Week","Jan 27, 2023",149.86,150.43,146.01,146.28,27701323
"ABBV","Week","Jan 20, 2023",153.8,155.1,147.15,149.59,28927143
"ABBV","Week","Jan 13, 2023",165.9,166.28,151.34,153.6,34945776
"ABBV","Week","Jan 6, 2023",162.04,168.11,160.81,166.55,17993316
"ABBV","Week","Dec 30, 2022",163.49,164.69,159.82,161.61,12407014
"ABBV","Week","Dec 23, 2022",160.78,163.82,160.06,163.1,18253100
"ABBV","Week","Dec 16, 2022",163.21,167.5,160.48,160.48,37819281
"ABBV","Week","Dec 9, 2022",162.89,167.75,161.55,163.06,23897140
"ABBV","Week","Dec 2, 2022",160.,163.76,156.46,163.66,30067450
"ABBV","Week","Nov 25, 2022",155.4,160.94,154.43,159.62,16726604
"ABBV","Week","Nov 18, 2022",150.98,156.69,149.96,154.98,31105887
"ABBV","Week","Nov 11, 2022",145.28,151.63,144.7,150.16,25909526
"ABBV","Week","Nov 4, 2022",145.17,148.08,143.03,145.28,28776232
"ABBV","Week","Oct 28, 2022",148.71,153.99,142.34,147.61,32759907
"ABBV","Week","Oct 21, 2022",142.65,147.76,142.1,147.06,20189670
"ABBV","Week","Oct 14, 2022",139.03,144.48,136.27,142.94,24391069
"ABBV","Week","Oct 7, 2022",135.88,144.47,135.31,138.76,28601638
"ABBV","Week","Sep 30, 2022",142.08,145.54,134.09,134.21,37391004
"ABBV","Week","Sep 23, 2022",143.64,144.46,140.,143.06,26563982
"ABBV","Week","Sep 16, 2022",141.01,144.85,137.49,144.06,36112601
"ABBV","Week","Sep 9, 2022",137.3,142.17,135.34,141.42,17368297
"ABBV","Week","Sep 2, 2022",136.2,139.4,134.1,136.28,22085096
"ABBV","Week","Aug 26, 2022",141.97,142.66,136.25,136.35,19950547
"ABBV","Week","Aug 19, 2022",143.11,143.98,139.82,141.85,20026925
"ABBV","Week","Aug 12, 2022",138.04,143.09,137.77,142.6,23931163
"ABBV","Week","Aug 5, 2022",141.51,143.02,137.95,138.04,31638264
"ABBV","Week","Jul 29, 2022",148.54,153.56,139.05,143.51,37720639
