"Ticker","Period","Date","Open","High","Low","Close","Volume"
"ABC","Month","Aug 4, 2023",187.50999450683594,194.3699951171875,184.,185.3300018310547,14103375
"ABC","Month","Jul 31, 2023",191.24000549316406,194.7899932861328,184.0399932861328,186.89999389648438,23201696
"ABC","Month","Jun 30, 2023",170.57000732421875,193.43499755859375,170.17999267578125,192.42999267578125,28272797
"ABC","Month","May 31, 2023",167.17999267578125,176.6199951171875,163.3699951171875,170.14999389648438,35532987
"ABC","Month","Apr 28, 2023",161.,168.82000732421875,160.5070037841797,166.85000610351562,15924693
"ABC","Month","Mar 31, 2023",160.32000732421875,161.,158.91000366210938,160.11000061035156,1310347
"ABC","Month","Feb 28, 2023",156.,156.62,154.76,155.56,1852890
"ABC","Month","Jan 31, 2023",164.74,169.16,157.64,168.96,27453159
"ABC","Month","Dec 30, 2022",170.99,174.63,163.74,165.71,29411504
"ABC","Month","Nov 30, 2022",157.37,171.24,147.1,170.69,43924605
"ABC","Month","Oct 31, 2022",136.27,159.45,135.8,157.22,21385473
"ABC","Month","Sep 30, 2022",146.56,150.38,135.14,135.33,22816359
"ABC","Month","Aug 31, 2022",145.5,153.35,137.09,146.56,23178433
"ABC","Month","Jul 29, 2022",141.85,146.27,136.34,145.93,17294181
"ABC","Month","Jun 30, 2022",156.47,156.89,138.83,141.48,30571769
"ABC","Month","May 31, 2022",152.27,164.61,145.63,154.79,43454276
"ABC","Month","Apr 29, 2022",154.93,167.19,150.71,151.29,25593500
"ABC","Month","Mar 31, 2022",142.44,156.94,140.34,154.71,25406440
"ABC","Month","Feb 28, 2022",135.94,144.22,132.,142.53,26633837
"ABC","Month","Jan 31, 2022",132.58,136.95,127.94,136.2,19525373
"ABC","Month","Dec 31, 2021",116.42,135.26,113.68,132.89,19897393
"ABC","Month","Nov 30, 2021",122.42,129.54,115.41,115.75,21108509
"ABC","Month","Oct 29, 2021",119.86,123.96,114.74,122.02,15160728
"ABC","Month","Sep 30, 2021",122.15,126.97,119.44,119.45,15118425
"ABC","Month","Aug 31, 2021",122.28,128.87,115.81,122.21,18898730
"ABC","Month","Jul 30, 2021",114.9,123.24,111.34,122.17,17794077
"ABC","Month","Jun 30, 2021",114.54,121.32,113.47,114.49,19014003
"ABC","Month","May 28, 2021",121.52,125.86,112.68,114.74,28324496
"ABC","Month","Apr 30, 2021",117.94,122.09,114.72,120.8,18776260
"ABC","Month","Mar 31, 2021",101.92,120.54,101.84,118.07,24431787
"ABC","Month","Feb 26, 2021",104.86,112.88,100.71,101.22,21436014
"ABC","Month","Jan 29, 2021",97.85,112.48,94.89,104.2,28586426
"ABC","Month","Dec 31, 2020",103.85,104.43,95.76,97.76,19498652
"ABC","Month","Nov 30, 2020",97.36,111.25,95.71,103.11,22929179
"ABC","Month","Oct 30, 2020",97.32,100.71,92.24,96.07,19362275
"ABC","Month","Sep 30, 2020",97.45,100.09,92.,96.92,20048330
"ABC","Month","Aug 31, 2020",100.81,106.45,96.26,97.03,17339112
"ABC","Month","Jul 31, 2020",100.95,105.08,94.76,100.19,20268825
"ABC","Month","Jun 30, 2020",94.84,103.37,92.57,100.77,30029994
"ABC","Month","May 29, 2020",88.35,96.49,81.51,95.34,26820360
"ABC","Month","Apr 30, 2020",88.21,92.08,80.,89.66,31240646
"ABC","Month","Mar 31, 2020",84.53,90.76,72.06,88.5,59843150
"ABC","Month","Feb 28, 2020",85.94,97.5,81.47,84.32,31024602
"ABC","Month","Jan 31, 2020",85.64,92.42,83.01,85.56,27652516
"ABC","Month","Dec 31, 2019",87.87,89.21,82.57,85.02,21000690
"ABC","Month","Nov 29, 2019",85.92,90.81,82.1,87.91,23193501
"ABC","Month","Oct 31, 2019",82.48,90.,79.75,85.38,26853906
"ABC","Month","Sep 30, 2019",81.87,88.46,80.43,82.33,24337101
"ABC","Month","Aug 30, 2019",90.88,94.75,80.41,82.27,32695207
"ABC","Month","Jul 31, 2019",85.78,94.2,84.52,87.15,24853675
"ABC","Month","Jun 28, 2019",78.12,87.1,78.12,85.26,28021925
"ABC","Month","May 31, 2019",75.13,82.08,73.04,77.86,34444265
"ABC","Month","Apr 30, 2019",80.04,80.25,70.55,74.76,30895198
"ABC","Month","Mar 29, 2019",83.71,84.27,75.53,79.52,30672856
"ABC","Month","Feb 28, 2019",81.82,87.53,79.7,83.3,25735866
"ABC","Month","Jan 31, 2019",73.74,85.86,72.55,83.37,32149402
"ABC","Month","Dec 31, 2018",88.98,90.25,69.36,74.4,26767545
"ABC","Month","Nov 30, 2018",88.44,92.59,80.28,88.9,31258454
"ABC","Month","Oct 31, 2018",92.75,94.85,83.07,88.,31095144
"ABC","Month","Sep 28, 2018",89.53,92.51,83.39,92.22,23156279
"ABC","Month","Aug 31, 2018",81.67,90.39,77.28,89.97,30630964
"ABC","Month","Jul 31, 2018",84.8,89.55,81.78,81.83,25145176
"ABC","Month","Jun 29, 2018",82.66,94.88,82.14,85.27,29518967
"ABC","Month","May 31, 2018",90.45,95.,81.97,82.14,33922974
"ABC","Month","Apr 30, 2018",86.1,94.22,81.58,90.58,32392971
"ABC","Month","Mar 29, 2018",94.84,101.39,82.88,86.21,35062865
"ABC","Month","Feb 28, 2018",97.74,102.,85.8,95.16,57520865
"ABC","Month","Jan 31, 2018",92.15,106.27,92.12,99.67,33372646
"ABC","Month","Dec 29, 2017",83.98,94.44,81.21,91.82,34932880
"ABC","Month","Nov 30, 2017",77.48,86.1,71.9,84.82,47167487
"ABC","Month","Oct 31, 2017",82.97,85.8,75.46,76.95,45749567
"ABC","Month","Sep 29, 2017",80.46,84.81,78.34,82.75,29041307
"ABC","Month","Aug 31, 2017",94.11,94.17,77.69,80.25,46422616
"ABC","Month","Jul 31, 2017",94.86,95.68,90.3,93.82,20888392
"ABC","Month","Jun 30, 2017",91.71,97.85,91.03,94.53,26682982
"ABC","Month","May 31, 2017",82.32,91.79,81.07,91.77,37810953
"ABC","Month","Apr 28, 2017",88.41,89.25,79.4,82.05,31018401
"ABC","Month","Mar 31, 2017",92.19,92.81,85.22,88.5,37417238
"ABC","Month","Feb 28, 2017",87.71,94.5,86.09,91.51,40010071
"ABC","Month","Jan 31, 2017",78.51,87.84,78.31,87.28,51240937
"ABC","Month","Dec 30, 2016",77.88,80.24,73.86,78.19,40754790
"ABC","Month","Nov 30, 2016",69.85,82.58,68.71,77.99,81570795
"ABC","Month","Oct 31, 2016",80.68,81.76,68.38,70.32,49115937
"ABC","Month","Sep 30, 2016",87.01,88.44,79.34,80.78,47872265
"ABC","Month","Aug 31, 2016",85.28,90.54,85.11,86.97,44165451
"ABC","Month","Jul 29, 2016",79.29,87.05,79.11,85.19,39947391
"ABC","Month","Jun 30, 2016",74.76,79.33,73.44,79.32,55333140
"ABC","Month","May 31, 2016",85.19,86.07,73.31,74.98,69425841
"ABC","Month","Apr 29, 2016",86.61,92.48,84.05,85.1,49937816
"ABC","Month","Mar 31, 2016",86.8,89.77,85.41,86.55,44630529
"ABC","Month","Feb 29, 2016",89.11,89.89,80.5,86.62,58846453
"ABC","Month","Jan 29, 2016",102.31,103.4,87.09,89.56,60278247
"ABC","Month","Dec 31, 2015",98.84,105.81,98.03,103.71,40738147
"ABC","Month","Nov 30, 2015",97.51,100.86,96.22,98.64,35878270
"ABC","Month","Oct 30, 2015",94.99,102.64,90.82,96.51,69719328
"ABC","Month","Sep 30, 2015",97.55,108.18,94.07,94.99,42481718
"ABC","Month","Aug 31, 2015",105.75,107.85,91.48,100.04,43908752
"ABC","Month","Jul 31, 2015",107.17,115.41,104.13,105.75,43473514
"ABC","Month","Jun 30, 2015",112.81,113.76,105.78,106.34,38558567
"ABC","Month","May 29, 2015",115.12,116.28,112.56,112.56,41603484
"ABC","Month","Apr 30, 2015",113.93,120.68,111.41,114.3,38214886
"ABC","Month","Mar 31, 2015",102.57,114.73,102.,113.67,44470376
"ABC","Month","Feb 27, 2015",95.57,103.71,93.6,102.76,33072373
"ABC","Month","Jan 30, 2015",90.61,100.2,89.52,95.05,44111147
"ABC","Month","Dec 31, 2014",90.64,92.84,89.25,90.16,32705162
"ABC","Month","Nov 28, 2014",85.81,91.59,85.58,91.05,31704792
"ABC","Month","Oct 31, 2014",78.21,85.99,74.32,85.41,48207557
"ABC","Month","Sep 30, 2014",77.51,78.6,75.71,77.3,28143822
"ABC","Month","Aug 29, 2014",76.96,77.92,74.66,77.39,25336427
"ABC","Month","Jul 31, 2014",72.67,79.13,72.01,76.91,32777692
"ABC","Month","Jun 30, 2014",73.31,73.81,71.,72.66,31267363
"ABC","Month","May 30, 2014",64.76,73.57,63.85,73.18,44089465
"ABC","Month","Apr 30, 2014",65.6,66.81,62.55,65.18,42956918
"ABC","Month","Mar 31, 2014",67.11,69.65,63.53,65.59,38435015
"ABC","Month","Feb 28, 2014",67.13,69.22,64.28,67.85,34264723
"ABC","Month","Jan 31, 2014",70.11,71.92,66.13,67.22,39094330
"ABC","Month","Dec 31, 2013",70.79,71.38,67.74,70.31,33243273
"ABC","Month","Nov 29, 2013",65.55,71.16,65.16,70.53,28489437
"ABC","Month","Oct 31, 2013",61.18,65.98,60.78,65.33,31204820
"ABC","Month","Sep 30, 2013",57.46,62.44,57.21,61.1,22300475
"ABC","Month","Aug 30, 2013",58.39,59.75,56.24,56.92,33354877
"ABC","Month","Jul 31, 2013",56.11,59.3,54.4,58.27,43665163
"ABC","Month","Jun 28, 2013",54.01,56.39,52.38,55.83,57745556
"ABC","Month","May 31, 2013",54.06,55.48,53.22,54.08,46155993
"ABC","Month","Apr 30, 2013",51.38,56.91,51.29,54.12,67541516
"ABC","Month","Mar 28, 2013",47.22,52.15,46.89,51.45,56660586
"ABC","Month","Feb 28, 2013",45.4,47.51,45.4,47.2,37730151
"ABC","Month","Jan 31, 2013",43.59,46.59,43.01,45.37,43856323
"ABC","Month","Dec 31, 2012",42.26,44.02,42.02,43.18,52722561
"ABC","Month","Nov 30, 2012",39.55,42.24,39.51,42.22,49401656
"ABC","Month","Oct 31, 2012",38.79,40.95,38.69,39.44,47227191
"ABC","Month","Sep 28, 2012",38.52,39.45,37.12,38.71,58294229
"ABC","Month","Aug 31, 2012",39.89,40.11,36.73,38.52,69699171
"ABC","Month","Jul 31, 2012",39.53,40.36,36.91,39.7,54091580
"ABC","Month","Jun 29, 2012",36.65,39.35,36.02,39.35,40676707
"ABC","Month","May 31, 2012",37.06,37.58,35.48,36.99,61483520
"ABC","Month","Apr 30, 2012",39.7,39.74,36.28,37.21,56592804
"ABC","Month","Mar 30, 2012",37.19,39.76,36.2,39.66,58589614
"ABC","Month","Feb 29, 2012",39.23,39.9,36.11,37.37,59842181
"ABC","Month","Jan 31, 2012",37.77,40.22,37.53,38.97,45855337
"ABC","Month","Dec 30, 2011",37.02,37.79,35.56,37.19,47965151
"ABC","Month","Nov 30, 2011",39.51,40.7,35.75,37.15,45240145
"ABC","Month","Oct 31, 2011",37.01,42.32,34.74,40.8,58162353
"ABC","Month","Sep 30, 2011",39.48,40.37,37.15,37.27,56931695
"ABC","Month","Aug 31, 2011",38.35,40.,34.33,39.58,90854760
"ABC","Month","Jul 29, 2011",41.37,43.47,37.62,38.31,68987215
"ABC","Month","Jun 30, 2011",41.09,41.72,39.8,41.4,47148839
"ABC","Month","May 31, 2011",40.76,42.5,40.39,41.22,47437775
"ABC","Month","Apr 29, 2011",39.75,42.5,38.86,40.64,52308944
"ABC","Month","Mar 31, 2011",37.91,39.9,35.95,39.56,54931749
"ABC","Month","Feb 28, 2011",36.11,37.95,34.4,37.91,50223893
"ABC","Month","Jan 31, 2011",34.26,37.08,33.91,35.86,55699582
"ABC","Month","Dec 31, 2010",31.16,34.72,31.07,34.12,53778422
"ABC","Month","Nov 30, 2010",32.92,33.36,30.51,30.85,66689901
"ABC","Month","Oct 29, 2010",30.85,33.83,30.4,32.83,61712464
"ABC","Month","Sep 30, 2010",27.46,31.82,27.46,30.66,61000045
"ABC","Month","Aug 31, 2010",30.28,30.79,27.09,27.28,65045772
"ABC","Month","Jul 30, 2010",31.63,32.93,27.82,29.97,134598369
"ABC","Month","Jun 30, 2010",31.03,33.27,30.31,31.75,96306936
"ABC","Month","May 28, 2010",31.03,31.96,28.95,31.28,90425889
"ABC","Month","Apr 30, 2010",28.99,31.79,28.42,30.85,78430439
"ABC","Month","Mar 31, 2010",27.97,29.43,27.61,28.92,65730939
"ABC","Month","Feb 26, 2010",27.46,28.61,26.65,28.04,75571093
"ABC","Month","Jan 29, 2010",26.29,28.,25.66,27.26,67840317
"ABC","Month","Dec 31, 2009",24.75,26.58,24.14,26.07,69232818
"ABC","Month","Nov 30, 2009",22.25,25.19,22.07,24.69,61465501
"ABC","Month","Oct 30, 2009",22.36,23.86,21.44,22.15,68400461
"ABC","Month","Sep 30, 2009",21.22,22.84,20.87,22.38,56177595
"ABC","Month","Aug 31, 2009",19.79,21.47,19.26,21.31,62543575
"ABC","Month","Jul 31, 2009",17.85,20.77,17.54,19.72,71869903
"ABC","Month","Jun 30, 2009",18.69,18.99,17.38,17.74,82969653
"ABC","Month","May 29, 2009",16.84,18.79,16.8,18.55,67361788
"ABC","Month","Apr 30, 2009",16.18,18.49,15.9,16.82,80879146
"ABC","Month","Mar 31, 2009",15.64,16.73,13.75,16.33,111873702
"ABC","Month","Feb 27, 2009",17.86,19.55,15.82,15.88,77250074
"ABC","Month","Jan 30, 2009",18.,19.24,17.28,18.16,96854908
"ABC","Month","Dec 31, 2008",15.1,17.92,14.44,17.83,78272042
"ABC","Month","Nov 28, 2008",15.63,15.91,13.33,15.68,85799576
"ABC","Month","Oct 31, 2008",18.62,18.78,13.9,15.64,109599950
"ABC","Month","Sep 30, 2008",20.65,21.12,18.3,18.83,86442258
"ABC","Month","Aug 29, 2008",20.92,21.72,19.99,20.5,65176540
"ABC","Month","Jul 31, 2008",19.78,22.23,18.35,20.93,66326408
