"Ticker","Period","Date","Open","High","Low","Close","Volume"
"ABC","Week","Aug 22, 2023",180.66000366210938,181.3300018310547,177.9199981689453,177.9600067138672,2153817
"ABC","Week","Aug 18, 2023",188.0800018310547,188.80999755859375,179.10499572753906,180.39999389648438,9869395
"ABC","Week","Aug 11, 2023",186.25,188.91000366210938,184.85000610351562,187.3699951171875,19563290
"ABC","Week","Aug 4, 2023",187.52999877929688,194.3699951171875,184.,185.3300018310547,15630834
"ABC","Week","Jul 28, 2023",188.02000427246094,188.02000427246094,185.8800048828125,186.55999755859375,1104764
"ABC","Week","Jul 21, 2023",191.61000061035156,194.7899932861328,189.11000061035156,192.58999633789062,4931658
"ABC","Week","Jul 14, 2023",191.4199981689453,193.8300018310547,190.4600067138672,191.4199981689453,4952701
"ABC","Week","Jul 7, 2023",191.24000549316406,192.94000244140625,189.1699981689453,190.86000061035156,5333012
"ABC","Week","Jun 30, 2023",187.39999389648438,193.43499755859375,183.6719970703125,192.42999267578125,6287080
"ABC","Week","Jun 23, 2023",183.17999267578125,188.7449951171875,183.00999450683594,187.6699981689453,7078398
"ABC","Week","Jun 16, 2023",178.16000366210938,183.43499755859375,177.16000366210938,183.00999450683594,6369141
"ABC","Week","Jun 9, 2023",174.89999389648438,178.27000427246094,172.2779998779297,178.22000122070312,5133649
"ABC","Week","Jun 2, 2023",167.42999267578125,175.33999633789062,163.3699951171875,174.52000427246094,10129336
"ABC","Week","May 26, 2023",173.94000244140625,173.94000244140625,168.19000244140625,168.41000366210938,7485992
"ABC","Week","May 19, 2023",175.1300048828125,176.6199951171875,173.10000610351562,173.38999938964844,1772068
"ABC","Week","May 12, 2023",167.55,173.64,166.77,170.99,6284943
"ABC","Week","May 5, 2023",167.18,171.09,164.78,167.99,6647822
"ABC","Week","Apr 28, 2023",166.78,168.63,164.99,166.85,3577548
"ABC","Week","Apr 21, 2023",167.,167.82,165.78,166.73,788236
"ABC","Week","Apr 14, 2023",167.19,167.7,166.53,167.13,781815
"ABC","Week","Mar 31, 2023",157.49,161.,156.09,160.11,4111043
"ABC","Week","Mar 24, 2023",150.85,156.59,150.25,156.41,1179811
"ABC","Week","Mar 17, 2023",148.81,152.55,147.48,152.02,7877918
"ABC","Week","Mar 10, 2023",155.51,157.14,149.09,149.6,6542319
"ABC","Week","Mar 3, 2023",158.86,159.33,153.65,156.15,6505044
"ABC","Week","Feb 24, 2023",159.19,159.7,155.34,158.57,1101181
"ABC","Week","Feb 17, 2023",158.89,163.59,156.,161.49,7604321
"ABC","Week","Feb 10, 2023",157.22,159.19,153.01,159.03,6452453
"ABC","Week","Feb 3, 2023",164.46,169.16,155.9,156.73,9787145
"ABC","Week","Jan 27, 2023",162.7,166.65,157.64,164.16,5999597
"ABC","Week","Jan 20, 2023",164.28,165.34,161.27,162.21,5375191
