"Ticker","Period","Date","Open","High","Low","Close","Volume"
"ABMD","Month","Dec 21, 2022",377.8500061035156,381.79998779296875,376.54998779296875,381.0199890136719,40429413
"ABMD","Month","Nov 30, 2022",377.7900085449219,378.5,377.0199890136719,377.7900085449219,733880
"ABMD","Month","Oct 31, 2022",248.71,274.95,237.44,252.08,6635077
"ABMD","Month","Sep 30, 2022",256.73,283.55,239.,245.66,6168195
"ABMD","Month","Aug 31, 2022",287.85,303.37,255.32,259.28,5598000
"ABMD","Month","Jul 29, 2022",246.42,293.74,244.66,293.01,4918558
"ABMD","Month","Jun 30, 2022",266.65,270.1,219.85,247.51,6018853
"ABMD","Month","May 31, 2022",287.01,298.5,226.46,263.7,8172806
"ABMD","Month","Apr 29, 2022",333.72,340.85,274.67,286.58,5443445
"ABMD","Month","Mar 31, 2022",311.07,342.38,274.3,331.24,5851032
"ABMD","Month","Feb 28, 2022",301.44,328.55,281.04,310.74,7699439
"ABMD","Month","Jan 31, 2022",358.,368.97,268.5,295.87,10476755
"ABMD","Month","Dec 31, 2021",317.17,370.51,295.71,359.17,5814534
"ABMD","Month","Nov 30, 2021",333.06,379.3,312.43,314.78,5519628
"ABMD","Month","Oct 29, 2021",326.58,359.99,311.32,332.04,4115992
"ABMD","Month","Sep 30, 2021",365.39,376.99,325.51,325.52,4023680
"ABMD","Month","Aug 31, 2021",329.81,365.64,315.72,363.96,4472856
"ABMD","Month","Jul 30, 2021",311.02,335.89,305.76,327.14,3638995
"ABMD","Month","Jun 30, 2021",284.85,328.52,276.06,312.11,6128566
"ABMD","Month","May 28, 2021",317.88,319.92,261.27,284.58,5933897
"ABMD","Month","Apr 30, 2021",321.1,355.94,311.48,320.73,4922287
"ABMD","Month","Mar 31, 2021",329.59,330.98,281.,318.73,6884557
"ABMD","Month","Feb 26, 2021",345.64,353.08,310.5,324.55,6492724
"ABMD","Month","Jan 29, 2021",324.57,387.4,308.95,348.25,7455221
"ABMD","Month","Dec 31, 2020",272.11,328.83,254.41,324.2,6227674
"ABMD","Month","Nov 30, 2020",253.42,292.23,250.73,274.1,4900792
"ABMD","Month","Oct 30, 2020",277.14,293.47,242.73,251.88,7320380
"ABMD","Month","Sep 30, 2020",307.72,315.35,256.17,277.06,6902129
"ABMD","Month","Aug 31, 2020",300.5,319.19,294.09,307.62,6283386
"ABMD","Month","Jul 31, 2020",242.96,302.97,242.68,299.94,7905281
"ABMD","Month","Jun 30, 2020",222.11,260.45,220.83,241.56,10480305
"ABMD","Month","May 29, 2020",190.,224.18,177.69,223.9,10465131
"ABMD","Month","Apr 30, 2020",140.95,198.43,140.14,191.25,13502043
"ABMD","Month","Mar 31, 2020",151.09,165.5,119.01,145.16,18452141
"ABMD","Month","Feb 28, 2020",186.45,199.26,147.28,150.26,16997098
"ABMD","Month","Jan 31, 2020",172.51,195.49,155.77,186.29,21766802
"ABMD","Month","Dec 31, 2019",196.27,197.87,161.67,170.59,14442194
"ABMD","Month","Nov 29, 2019",207.5,227.28,172.09,196.18,17404560
"ABMD","Month","Oct 31, 2019",177.89,210.76,155.02,207.58,16993504
"ABMD","Month","Sep 30, 2019",192.08,196.49,174.,177.89,10755743
"ABMD","Month","Aug 30, 2019",222.7,224.99,181.02,193.07,17898161
"ABMD","Month","Jul 31, 2019",263.09,285.77,253.4,278.56,8617000
"ABMD","Month","Jun 28, 2019",260.76,279.69,249.52,260.49,11208862
"ABMD","Month","May 31, 2019",279.36,281.75,228.,261.92,21208778
"ABMD","Month","Apr 30, 2019",290.01,293.44,244.08,277.41,16065436
"ABMD","Month","Mar 29, 2019",337.2,352.87,272.17,285.59,12336338
"ABMD","Month","Feb 28, 2019",348.79,364.31,316.38,334.5,8992645
"ABMD","Month","Jan 31, 2019",315.94,362.67,293.66,351.07,11251066
