"Ticker","Period","Date","Open","High","Low","Close","Volume"
"ACN","Month","Aug 4, 2023",315.44000244140625,321.3800048828125,311.2449951171875,312.,7210018
"ACN","Month","Jul 31, 2023",308.,324.19000244140625,304.1199951171875,316.3500061035156,36728568
"ACN","Month","Jun 30, 2023",305.7300109863281,327.92999267578125,296.,308.5799865722656,62638037
"ACN","Month","May 31, 2023",279.0899963378906,318.9100036621094,261.67999267578125,305.9200134277344,61227710
"ACN","Month","Apr 28, 2023",283.3900146484375,288.6499938964844,270.20001220703125,280.2900085449219,43365480
"ACN","Month","Mar 31, 2023",283.1199951171875,285.9599914550781,282.6099853515625,285.80999755859375,3009370
"ACN","Month","Feb 28, 2023",264.69,268.49,262.74,265.55,2160426
"ACN","Month","Jan 31, 2023",269.2,287.97,261.37,279.05,45062330
"ACN","Month","Dec 30, 2022",302.45,305.13,253.5,266.84,50442560
"ACN","Month","Nov 30, 2022",287.06,300.97,256.02,300.93,39823017
"ACN","Month","Oct 31, 2022",260.27,288.22,242.95,283.9,46328631
"ACN","Month","Sep 30, 2022",287.8,296.81,254.27,257.3,50958247
"ACN","Month","Aug 31, 2022",302.53,322.88,287.43,288.46,36923183
"ACN","Month","Jul 29, 2022",277.58,307.76,261.77,306.26,39738878
"ACN","Month","Jun 30, 2022",304.13,312.32,269.09,277.65,51681159
"ACN","Month","May 31, 2022",300.46,315.88,268.17,298.46,50760571
"ACN","Month","Apr 29, 2022",338.59,345.3,299.8,300.36,45063030
"ACN","Month","Mar 31, 2022",317.,344.46,297.36,337.23,62911751
"ACN","Month","Feb 28, 2022",354.22,360.1,300.71,316.02,48249456
"ACN","Month","Jan 31, 2022",414.66,415.53,319.1,353.58,63806098
"ACN","Month","Dec 31, 2021",365.27,417.37,357.34,414.55,53206097
"ACN","Month","Nov 30, 2021",358.83,374.92,352.1,357.4,45488476
"ACN","Month","Oct 29, 2021",323.37,359.62,316.01,358.79,35414129
"ACN","Month","Sep 30, 2021",337.45,345.52,318.3,319.92,45873750
"ACN","Month","Aug 31, 2021",319.27,338.65,315.5,336.56,32645565
"ACN","Month","Jul 30, 2021",295.48,321.,295.,317.68,38556162
"ACN","Month","Jun 30, 2021",285.58,297.8,277.38,294.79,42954632
"ACN","Month","May 28, 2021",292.93,294.5,276.88,282.16,39091899
"ACN","Month","Apr 30, 2021",278.62,293.28,276.07,289.97,38033843
"ACN","Month","Mar 31, 2021",254.,281.3,244.44,276.25,58126772
"ACN","Month","Feb 26, 2021",246.1,261.61,243.97,250.9,34450699
"ACN","Month","Jan 29, 2021",261.,266.53,241.73,241.92,38006575
"ACN","Month","Dec 31, 2020",251.51,271.17,243.55,261.21,45456325
"ACN","Month","Nov 30, 2020",219.17,250.91,218.32,249.09,35382341
"ACN","Month","Oct 30, 2020",227.36,234.71,212.45,216.91,37834829
"ACN","Month","Sep 30, 2020",238.49,247.82,210.42,225.99,48351460
"ACN","Month","Aug 31, 2020",225.,243.54,224.46,239.93,31526990
"ACN","Month","Jul 31, 2020",214.5,225.74,213.51,224.78,36957210
"ACN","Month","Jun 30, 2020",201.54,217.89,194.83,214.72,55509481
"ACN","Month","May 29, 2020",181.71,204.18,174.94,201.62,41874215
"ACN","Month","Apr 30, 2020",158.57,188.17,148.28,185.19,59791789
"ACN","Month","Mar 31, 2020",182.,191.9,137.15,163.26,105691197
"ACN","Month","Feb 28, 2020",205.34,216.39,175.3,180.59,42169024
"ACN","Month","Jan 31, 2020",210.86,211.92,203.19,205.21,46018506
"ACN","Month","Dec 31, 2019",201.44,213.25,196.47,210.57,40155082
"ACN","Month","Nov 29, 2019",186.7,201.65,185.48,201.16,30467274
"ACN","Month","Oct 31, 2019",192.6,193.37,181.96,185.42,43230872
"ACN","Month","Sep 30, 2019",196.36,202.8,187.28,192.35,44025872
"ACN","Month","Aug 30, 2019",193.33,200.68,184.23,198.17,40874471
"ACN","Month","Jul 31, 2019",184.83,197.47,184.43,192.58,34621173
"ACN","Month","Jun 28, 2019",177.87,187.31,174.23,184.77,39716091
"ACN","Month","May 31, 2019",183.2,183.35,170.35,178.07,39072543
"ACN","Month","Apr 30, 2019",175.5,182.83,174.55,182.67,35897727
"ACN","Month","Mar 29, 2019",163.,177.49,160.5,176.02,45264233
"ACN","Month","Feb 28, 2019",154.25,162.5,153.66,161.38,34127927
"ACN","Month","Jan 31, 2019",138.93,154.9,135.58,153.55,43567882
