"Ticker","Period","Date","Open","High","Low","Close","Volume"
"ADBE","Month","Aug 4, 2023",545.780029296875,552.0150146484375,522.1199951171875,526.8800048828125,9872716
"ADBE","Month","Jul 31, 2023",486.3900146484375,552.9400024414062,475.,546.1699829101562,61177763
"ADBE","Month","Jun 30, 2023",412.2900085449219,518.739990234375,412.2900085449219,488.989990234375,108631767
"ADBE","Month","May 31, 2023",376.510009765625,432.989990234375,331.8900146484375,417.7900085449219,86414639
"ADBE","Month","Apr 28, 2023",380.8800048828125,386.,357.25,377.55999755859375,39099052
"ADBE","Month","Mar 31, 2023",382.2900085449219,385.7300109863281,380.260009765625,385.3699951171875,3063428
"ADBE","Month","Feb 28, 2023",323.37,325.73,320.97,323.95,2714154
"ADBE","Month","Jan 31, 2023",340.16,373.42,322.44,370.34,48870544
"ADBE","Month","Dec 30, 2022",348.03,355.67,324.35,336.53,65104635
"ADBE","Month","Nov 30, 2022",321.01,350.97,278.23,344.93,70791369
"ADBE","Month","Oct 31, 2022",278.27,330.58,276.6,318.5,82414691
"ADBE","Month","Sep 30, 2022",371.,396.39,274.73,275.2,124383101
"ADBE","Month","Aug 31, 2022",406.51,451.15,371.06,373.44,51827633
"ADBE","Month","Jul 29, 2022",364.17,414.62,359.07,410.12,46398257
"ADBE","Month","Jun 30, 2022",428.,441.9,338.,366.06,71842535
"ADBE","Month","May 31, 2022",397.13,428.55,370.27,416.48,72500265
"ADBE","Month","Apr 29, 2022",455.,473.49,394.64,395.95,54963360
"ADBE","Month","Mar 31, 2022",468.,479.21,407.94,455.62,98679695
"ADBE","Month","Feb 28, 2022",536.,540.46,416.81,467.68,70330185
"ADBE","Month","Jan 31, 2022",566.65,575.,480.62,534.3,84134560
"ADBE","Month","Dec 31, 2021",676.,678.78,538.05,567.06,84170439
"ADBE","Month","Nov 30, 2021",651.05,699.54,634.78,669.85,43338742
"ADBE","Month","Oct 29, 2021",577.52,659.19,552.14,650.36,44401767
"ADBE","Month","Sep 30, 2021",664.51,673.88,573.24,575.72,52679149
"ADBE","Month","Aug 31, 2021",625.87,667.9,612.93,663.7,28726918
"ADBE","Month","Jul 30, 2021",583.33,631.64,581.35,621.63,33922762
"ADBE","Month","Jun 30, 2021",504.54,592.24,487.34,585.64,52699697
"ADBE","Month","May 28, 2021",510.97,511.74,468.5,504.58,39865461
"ADBE","Month","Apr 30, 2021",483.12,525.44,480.5,508.34,40869444
"ADBE","Month","Mar 31, 2021",465.68,482.41,420.78,475.37,75497824
"ADBE","Month","Feb 26, 2021",462.28,506.51,450.12,459.67,44484763
"ADBE","Month","Jan 29, 2021",500.3,500.79,453.34,458.77,57402628
"ADBE","Month","Dec 31, 2020",482.01,506.92,468.82,500.12,54982901
"ADBE","Month","Nov 30, 2020",451.,502.53,438.94,478.47,53553749
"ADBE","Month","Oct 30, 2020",497.42,519.6,442.51,447.1,48082353
"ADBE","Month","Sep 30, 2020",515.,536.88,452.52,490.43,84804221
"ADBE","Month","Aug 31, 2020",449.84,533.7,431.59,513.39,54521743
"ADBE","Month","Jul 31, 2020",434.8,470.61,416.29,444.32,54651459
"ADBE","Month","Jun 30, 2020",387.08,446.15,382.,435.31,70637474
"ADBE","Month","May 29, 2020",347.24,391.27,340.,386.6,55546780
"ADBE","Month","Apr 30, 2020",307.,356.23,289.71,353.64,73073518
"ADBE","Month","Mar 31, 2020",349.81,364.95,255.13,318.24,126575221
"ADBE","Month","Feb 28, 2020",353.41,386.74,324.,345.12,56924335
"ADBE","Month","Jan 31, 2020",330.,356.82,328.19,351.14,44262174
"ADBE","Month","Dec 31, 2019",309.22,332.88,297.32,329.81,51177924
"ADBE","Month","Nov 29, 2019",279.14,310.,276.05,309.53,44731152
"ADBE","Month","Oct 31, 2019",278.99,281.51,259.57,277.93,61576806
"ADBE","Month","Sep 30, 2019",284.25,289.59,267.73,276.25,66765676
"ADBE","Month","Aug 30, 2019",299.15,304.99,276.78,284.51,50889481
"ADBE","Month","Jul 31, 2019",299.55,313.11,295.11,298.86,42492369
"ADBE","Month","Jun 28, 2019",270.51,304.,257.46,294.65,67826210
"ADBE","Month","May 31, 2019",291.,291.,267.22,270.9,49497456
"ADBE","Month","Apr 30, 2019",269.85,291.7,263.72,289.25,46808355
"ADBE","Month","Mar 29, 2019",265.75,269.8,249.1,266.49,71777949
"ADBE","Month","Feb 28, 2019",247.82,266.24,246.1,262.5,51022737
"ADBE","Month","Jan 31, 2019",219.91,250.68,215.15,247.82,68179826
"ADBE","Month","Dec 31, 2018",260.71,260.72,204.95,226.24,96434311
"ADBE","Month","Nov 30, 2018",245.69,254.13,207.02,250.89,81375401
"ADBE","Month","Oct 31, 2018",271.76,277.03,231.7,245.76,106810158
"ADBE","Month","Sep 28, 2018",263.67,277.61,254.54,269.95,60666153
"ADBE","Month","Aug 31, 2018",245.,269.96,243.71,263.51,54738727
"ADBE","Month","Jul 31, 2018",241.05,263.83,239.6,244.68,53804614
"ADBE","Month","Jun 29, 2018",250.55,258.91,235.87,243.81,77869956
"ADBE","Month","May 31, 2018",220.77,251.52,218.74,249.28,50388223
"ADBE","Month","Apr 30, 2018",214.81,233.17,207.22,221.6,56243864
"ADBE","Month","Mar 29, 2018",210.32,231.34,201.76,216.08,80346508
"ADBE","Month","Feb 28, 2018",199.12,213.44,179.34,209.13,51744401
"ADBE","Month","Jan 31, 2018",175.85,204.45,175.26,199.76,55307248
"ADBE","Month","Dec 29, 2017",179.51,182.,165.68,175.24,64958499
"ADBE","Month","Nov 30, 2017",176.59,186.27,174.7,181.47,43739248
"ADBE","Month","Oct 31, 2017",149.79,177.58,146.6,175.16,73795776
"ADBE","Month","Sep 29, 2017",155.76,157.89,143.95,149.18,55166717
"ADBE","Month","Aug 31, 2017",147.48,155.36,144.18,155.16,34445234
