"Ticker","Period","Date","Open","High","Low","Close","Volume"
"IBM","Month","Aug 4, 2023",144.25,146.08999633789062,142.1699981689453,144.24000549316406,17933928
"IBM","Month","Jul 31, 2023",133.4199981689453,144.60499572753906,131.5500030517578,144.17999267578125,85778938
"IBM","Month","Jun 30, 2023",128.44000244140625,139.468994140625,127.77999877929688,133.80999755859375,101302917
"IBM","Month","May 31, 2023",126.3499984741211,130.07000732421875,120.55000305175781,128.58999633789062,96214788
"IBM","Month","Apr 28, 2023",130.97000122070312,132.61000061035156,124.55999755859375,126.41000366210938,83680219
"IBM","Month","Mar 31, 2023",129.47000122070312,131.22999572753906,129.4199981689453,131.08999633789062,4524686
"IBM","Month","Feb 28, 2023",130.55,130.61,129.14,129.3,5143133
"IBM","Month","Jan 31, 2023",141.1,147.18,132.98,134.73,105576019
"IBM","Month","Dec 30, 2022",149.98,153.21,137.2,140.89,86426226
"IBM","Month","Nov 30, 2022",138.25,150.46,133.97,148.9,93620235
"IBM","Month","Oct 31, 2022",120.16,138.86,115.54,138.29,113480787
"IBM","Month","Sep 30, 2022",128.4,130.99,118.61,118.81,87267136
"IBM","Month","Aug 31, 2022",130.75,139.34,128.4,128.45,77424007
"IBM","Month","Jul 29, 2022",141.,141.87,125.13,130.79,129801061
"IBM","Month","Jun 30, 2022",139.67,144.73,132.85,141.19,105815743
"IBM","Month","May 31, 2022",133.,139.83,125.8,138.84,113226528
"IBM","Month","Apr 29, 2022",129.66,141.88,124.91,132.21,107687897
"IBM","Month","Mar 31, 2022",122.67,133.08,120.7,130.02,96574253
"IBM","Month","Feb 28, 2022",133.76,138.82,118.81,122.51,98535967
"IBM","Month","Jan 31, 2022",134.07,142.2,124.19,133.57,147278350
"IBM","Month","Dec 31, 2021",118.25,134.99,116.56,133.66,113976826
"IBM","Month","Nov 30, 2021",119.44,124.78,114.56,117.1,119383279
"IBM","Month","Oct 29, 2021",134.68,139.45,119.03,119.49,144097758
"IBM","Month","Sep 30, 2021",133.7,134.27,126.83,132.7,76644238
"IBM","Month","Aug 31, 2021",135.11,138.21,131.06,134.05,69688548
"IBM","Month","Jul 30, 2021",140.37,140.89,130.1,134.64,110639111
"IBM","Month","Jun 30, 2021",138.5,145.99,136.63,140.02,84448985
"IBM","Month","May 28, 2021",137.36,141.86,134.6,137.29,97960800
"IBM","Month","Apr 30, 2021",127.76,142.07,124.53,135.52,122920494
"IBM","Month","Mar 31, 2021",114.95,130.92,113.43,127.29,127967821
"IBM","Month","Feb 26, 2021",114.52,118.78,112.82,113.6,106727235
"IBM","Month","Jan 29, 2021",120.21,126.31,112.1,113.77,176189107
"IBM","Month","Dec 31, 2020",118.35,121.96,116.26,120.24,102831729
"IBM","Month","Nov 30, 2020",107.6,119.69,106.18,117.98,103684157
"IBM","Month","Oct 30, 2020",116.87,129.43,101.17,106.65,159130911
"IBM","Month","Sep 30, 2020",117.34,124.12,111.26,116.21,84510174
"IBM","Month","Aug 31, 2020",117.96,124.62,116.67,117.78,74056612
"IBM","Month","Jul 31, 2020",114.88,126.24,110.04,117.43,114195568
"IBM","Month","Jun 30, 2020",119.05,129.79,110.68,115.36,121011408
"IBM","Month","May 29, 2020",117.67,121.28,106.8,119.3,92888757
"IBM","Month","Apr 30, 2020",101.59,123.51,99.83,119.93,130697521
"IBM","Month","Mar 31, 2020",124.89,129.99,86.5,105.96,190088743
"IBM","Month","Feb 28, 2020",137.78,151.63,120.69,124.32,118153735
"IBM","Month","Jan 31, 2020",128.95,139.25,127.23,137.29,113442410
"IBM","Month","Dec 31, 2019",128.42,130.3,124.83,128.03,71941530
"IBM","Month","Nov 29, 2019",128.47,132.9,126.8,128.42,64921102
"IBM","Month","Oct 31, 2019",139.06,140.74,125.03,127.73,92807862
"IBM","Month","Sep 30, 2019",128.8,140.,127.35,138.9,62116513
"IBM","Month","Aug 30, 2019",142.22,146.09,123.05,129.45,96293224
"IBM","Month","Jul 31, 2019",133.34,145.13,132.89,141.59,80175943
"IBM","Month","Jun 28, 2019",121.4,133.87,121.36,131.72,61342985
"IBM","Month","May 31, 2019",134.25,135.45,121.16,121.3,75537897
"IBM","Month","Apr 30, 2019",135.16,138.87,130.15,133.98,80199229
"IBM","Month","Mar 29, 2019",133.06,135.75,127.59,134.77,74688899
"IBM","Month","Feb 28, 2019",128.92,134.19,126.2,131.94,68462024
"IBM","Month","Jan 31, 2019",106.99,129.34,106.68,128.39,120388583
"IBM","Month","Dec 31, 2018",120.04,120.91,101.19,108.57,115600988
"IBM","Month","Nov 30, 2018",110.32,119.45,109.4,118.7,141719180
"IBM","Month","Oct 31, 2018",144.91,147.44,108.97,110.25,198093763
"IBM","Month","Sep 28, 2018",139.43,146.47,138.32,144.43,95868785
"IBM","Month","Aug 31, 2018",138.27,141.3,135.63,139.91,79196876
"IBM","Month","Jul 31, 2018",132.08,143.79,132.,138.43,95015127
"IBM","Month","Jun 29, 2018",136.04,140.91,131.29,133.44,90247351
"IBM","Month","May 31, 2018",138.16,139.65,133.63,134.97,88812832
"IBM","Month","Apr 30, 2018",146.46,154.74,137.65,138.46,122894860
"IBM","Month","Mar 29, 2018",148.56,154.84,141.88,146.55,94317107
"IBM","Month","Feb 28, 2018",155.87,156.77,137.92,148.84,102364921
"IBM","Month","Jan 31, 2018",147.57,163.46,146.66,156.36,145086550
"IBM","Month","Dec 29, 2017",147.48,150.77,144.7,146.54,88788538
"IBM","Month","Nov 30, 2017",147.19,147.96,139.66,147.07,89776130
"IBM","Month","Oct 31, 2017",138.83,155.22,138.7,147.15,125345669
"IBM","Month","Sep 29, 2017",136.57,140.81,135.29,138.57,78298096
"IBM","Month","Aug 31, 2017",138.5,139.14,132.89,136.62,80295410
"IBM","Month","Jul 31, 2017",146.69,149.03,137.2,138.18,93293593
"IBM","Month","Jun 30, 2017",145.95,150.15,144.04,146.93,83978157
"IBM","Month","May 31, 2017",152.87,153.23,143.07,145.79,103330920
"IBM","Month","Apr 28, 2017",166.03,168.42,152.44,153.1,100053430
