"Ticker","Period","Date","Open","High","Low","Close","Volume"
"IBM","Week","Aug 22, 2023",141.4199981689453,143.22500610351562,141.11000061035156,141.49000549316406,6495515
"IBM","Week","Aug 18, 2023",143.0500030517578,143.36500549316406,139.75999450683594,141.41000366210938,18826007
"IBM","Week","Aug 11, 2023",145.,146.5,142.2050018310547,143.1199951171875,19428470
"IBM","Week","Aug 4, 2023",143.80999755859375,146.08999633789062,142.1699981689453,144.24000549316406,24072830
"IBM","Week","Jul 28, 2023",143.44000244140625,143.9499969482422,142.85000610351562,143.4499969482422,6686627
"IBM","Week","Jul 21, 2023",133.25999450683594,140.32000732421875,133.10000610351562,138.94000244140625,29295540
"IBM","Week","Jul 14, 2023",131.75999450683594,135.3300018310547,131.69500732421875,133.39999389648438,15109770
"IBM","Week","Jul 7, 2023",133.4199981689453,134.35000610351562,131.5500030517578,132.0800018310547,10923840
"IBM","Week","Jun 30, 2023",129.38999938964844,135.02999877929688,129.30999755859375,133.80999755859375,18695850
"IBM","Week","Jun 23, 2023",136.36000061035156,137.22999572753906,129.17999267578125,129.42999267578125,27111509
"IBM","Week","Jun 16, 2023",136.,139.468994140625,135.82200622558594,137.47999572753906,24228597
"IBM","Week","Jun 9, 2023",133.1199951171875,136.10000610351562,131.8800048828125,135.3000030517578,21755079
"IBM","Week","Jun 2, 2023",129.55999755859375,133.1199951171875,127.45999908447266,132.4199981689453,24843143
"IBM","Week","May 26, 2023",127.5,129.66000366210938,125.01000213623047,128.88999938964844,21029979
"IBM","Week","May 19, 2023",126.79000091552734,128.2899932861328,126.55000305175781,127.26000213623047,4306657
"IBM","Week","May 12, 2023",123.76,123.92,120.55,122.84,20404364
"IBM","Week","May 5, 2023",126.35,126.75,121.76,123.65,21164660
"IBM","Week","Apr 28, 2023",125.55,127.25,124.56,126.41,20655592
"IBM","Week","Apr 21, 2023",126.,126.7,125.27,125.73,6725426
"IBM","Week","Apr 14, 2023",132.16,132.6,126.,128.14,22557081
"IBM","Week","Mar 31, 2023",126.47,131.48,126.47,131.09,20779522
"IBM","Week","Mar 24, 2023",123.36,125.4,122.88,125.29,3812644
"IBM","Week","Mar 17, 2023",125.15,128.19,121.71,123.69,66132690
"IBM","Week","Mar 10, 2023",129.64,130.86,125.13,125.45,20761401
"IBM","Week","Mar 3, 2023",131.42,131.87,127.71,129.64,17865677
"IBM","Week","Feb 24, 2023",129.62,130.67,129.22,130.57,3015907
"IBM","Week","Feb 17, 2023",136.,137.39,133.89,135.02,16543870
"IBM","Week","Feb 10, 2023",135.83,136.74,133.34,135.6,22140989
"IBM","Week","Feb 3, 2023",134.32,136.95,132.8,136.94,27874571
"IBM","Week","Jan 27, 2023",141.4,142.99,132.98,134.39,43345140
"IBM","Week","Jan 20, 2023",146.42,147.18,139.75,141.2,21419368
"IBM","Week","Jan 13, 2023",144.08,146.66,142.9,145.89,14580596
"IBM","Week","Jan 6, 2023",141.1,144.25,140.01,143.7,13648755
"IBM","Week","Dec 30, 2022",141.73,142.81,139.45,140.89,10477419
"IBM","Week","Dec 23, 2022",140.16,143.09,137.2,141.65,19663576
"IBM","Week","Dec 16, 2022",147.82,153.21,138.97,140.16,33572382
"IBM","Week","Dec 9, 2022",147.94,149.15,146.29,147.05,15316930
"IBM","Week","Dec 2, 2022",147.98,150.01,145.67,148.67,20066941
"IBM","Week","Nov 25, 2022",147.55,150.46,146.45,148.37,16271883
"IBM","Week","Nov 18, 2022",142.63,148.31,142.,147.64,22034930
"IBM","Week","Nov 11, 2022",136.64,144.13,136.51,143.17,25066114
"IBM","Week","Nov 4, 2022",138.06,140.17,133.97,136.96,22491556
"IBM","Week","Oct 28, 2022",130.9,138.86,129.85,138.51,26667185
"IBM","Week","Oct 21, 2022",121.8,130.85,121.43,129.9,37309868
"IBM","Week","Oct 14, 2022",119.79,122.54,115.54,120.04,22973512
"IBM","Week","Oct 7, 2022",120.16,126.46,118.07,118.82,21614952
"IBM","Week","Sep 30, 2022",122.3,124.26,118.61,118.81,22265241
"IBM","Week","Sep 23, 2022",126.49,128.06,121.74,122.71,19451077
"IBM","Week","Sep 16, 2022",130.33,130.99,123.83,127.27,27107187
"IBM","Week","Sep 9, 2022",127.8,129.49,126.28,129.19,12006599
"IBM","Week","Sep 2, 2022",129.99,131.42,127.24,127.79,15118273
"IBM","Week","Aug 26, 2022",137.65,137.85,130.34,130.38,16982107
"IBM","Week","Aug 19, 2022",132.96,139.34,132.24,138.37,17105977
"IBM","Week","Aug 12, 2022",133.1,134.09,129.12,134.01,17254110
"IBM","Week","Aug 5, 2022",130.75,132.86,130.51,132.48,17400572
"IBM","Week","Jul 29, 2022",128.44,131.,127.58,130.79,22223785
"IBM","Week","Jul 22, 2022",140.15,140.31,125.13,128.25,66246811
"IBM","Week","Jul 15, 2022",140.62,141.87,135.02,139.92,21089228
"IBM","Week","Jul 8, 2022",139.97,141.32,135.27,140.47,16229131
"IBM","Week","Jul 1, 2022",142.26,144.15,139.26,141.12,21052787
"IBM","Week","Jun 24, 2022",135.9,142.37,135.9,142.06,23921844
"IBM","Week","Jun 17, 2022",133.97,138.45,132.85,135.02,34055621
"IBM","Week","Jun 10, 2022",142.98,144.73,135.25,136.19,18914084
"IBM","Week","Jun 3, 2022",138.2,142.58,136.81,141.18,19861566
"IBM","Week","May 27, 2022",129.5,139.74,129.42,139.27,19618090
