"Ticker","Period","Date","Open","High","Low","Close","Volume"
"LUV","Week","Aug 22, 2023",32.20000076293945,32.523101806640625,31.34000015258789,31.5,14304347
"LUV","Week","Aug 18, 2023",33.529998779296875,33.77000045776367,31.899999618530273,32.150001525878906,25443043
"LUV","Week","Aug 11, 2023",32.66999816894531,34.130001068115234,32.15999984741211,33.70000076293945,37255091
"LUV","Week","Aug 4, 2023",33.439998626708984,34.494998931884766,32.150001525878906,32.72999954223633,45317287
"LUV","Week","Jul 28, 2023",32.77000045776367,33.709999084472656,32.70000076293945,33.70000076293945,12517118
"LUV","Week","Jul 21, 2023",36.290000915527344,37.47999954223633,35.880001068115234,37.25,27511587
"LUV","Week","Jul 14, 2023",37.650001525878906,39.529998779296875,36.165000915527344,36.36000061035156,48807201
"LUV","Week","Jul 7, 2023",36.029998779296875,37.997501373291016,36.029998779296875,37.59000015258789,25470232
"LUV","Week","Jun 30, 2023",34.029998779296875,36.2400016784668,33.849998474121094,36.209999084472656,36670753
"LUV","Week","Jun 23, 2023",33.90999984741211,34.63999938964844,33.52000045776367,33.93000030517578,26829334
"LUV","Week","Jun 16, 2023",30.989999771118164,34.40999984741211,30.96500015258789,34.25,52031463
"LUV","Week","Jun 9, 2023",30.260000228881836,30.93000030517578,29.690000534057617,30.6200008392334,24800106
"LUV","Week","Jun 2, 2023",29.84000015258789,30.645000457763672,29.079999923706055,30.06999969482422,30836813
"LUV","Week","May 26, 2023",29.780000686645508,30.170000076293945,28.809999465942383,29.649999618530273,26794800
"LUV","Week","May 19, 2023",30.,30.06450080871582,29.42099952697754,29.479999542236328,4717698
"LUV","Week","May 12, 2023",29.5,30.,28.4,28.63,29372585
"LUV","Week","May 5, 2023",30.29,31.16,29.27,29.66,37319850
"LUV","Week","Apr 28, 2023",32.26,32.47,28.81,30.29,50192860
"LUV","Week","Apr 21, 2023",32.32,32.46,31.91,32.15,4329548
"LUV","Week","Apr 14, 2023",31.77,32.94,31.31,31.67,41251448
"LUV","Week","Mar 31, 2023",30.11,32.57,29.81,32.54,24193587
"LUV","Week","Mar 24, 2023",29.29,29.69,28.95,29.63,6314770
"LUV","Week","Mar 17, 2023",32.15,32.32,29.41,30.03,57159430
"LUV","Week","Mar 10, 2023",34.28,34.48,32.01,32.77,41289474
"LUV","Week","Mar 3, 2023",34.,34.46,33.33,34.18,21508863
"LUV","Week","Feb 24, 2023",33.15,33.61,33.03,33.57,5343016
"LUV","Week","Feb 17, 2023",34.57,35.85,34.48,35.36,23964977
"LUV","Week","Feb 10, 2023",36.,36.4,34.13,34.57,26002654
"LUV","Week","Feb 3, 2023",36.,37.31,35.15,36.35,36371222
"LUV","Week","Jan 27, 2023",37.14,38.53,34.82,36.24,41310081
"LUV","Week","Jan 20, 2023",36.99,37.71,35.72,37.06,26753059
"LUV","Week","Jan 13, 2023",35.11,37.02,34.92,36.99,35885960
"LUV","Week","Jan 6, 2023",33.82,35.13,32.1,35.08,35835742
"LUV","Week","Dec 30, 2022",34.61,34.88,32.19,33.67,53601539
"LUV","Week","Dec 23, 2022",37.38,37.59,35.08,36.09,19944659
"LUV","Week","Dec 16, 2022",37.92,39.9,36.75,37.28,31699831
"LUV","Week","Dec 9, 2022",39.52,40.38,37.15,38.01,30728102
"LUV","Week","Dec 2, 2022",38.96,40.2,38.47,39.75,24454531
"LUV","Week","Nov 25, 2022",38.06,39.58,37.39,39.22,12407696
"LUV","Week","Nov 18, 2022",38.08,38.97,37.3,38.11,27090828
"LUV","Week","Nov 11, 2022",37.31,39.26,36.79,38.36,26639319
"LUV","Week","Nov 4, 2022",36.2,38.,35.48,37.08,28829692
"LUV","Week","Oct 28, 2022",33.28,36.33,32.97,36.23,41532368
"LUV","Week","Oct 21, 2022",33.59,34.23,32.38,33.1,28530243
"LUV","Week","Oct 14, 2022",31.85,33.31,30.65,32.76,27356309
"LUV","Week","Oct 7, 2022",30.84,33.32,30.2,31.87,26771727
"LUV","Week","Sep 30, 2022",31.78,32.55,30.79,30.84,32583609
"LUV","Week","Sep 23, 2022",34.67,36.06,31.57,32.05,33386070
"LUV","Week","Sep 16, 2022",38.73,39.14,34.66,34.73,36675318
"LUV","Week","Sep 9, 2022",37.09,38.46,36.3,38.37,20686458
"LUV","Week","Sep 2, 2022",37.,37.87,35.83,36.74,20142186
"LUV","Week","Aug 26, 2022",37.25,38.86,36.93,37.53,23513368
"LUV","Week","Aug 19, 2022",39.32,40.39,37.62,37.88,22296082
"LUV","Week","Aug 12, 2022",38.93,40.05,38.03,39.46,20069010
"LUV","Week","Aug 5, 2022",38.,39.48,37.34,38.81,27104086
"LUV","Week","Jul 29, 2022",40.27,41.07,36.96,38.12,39965357
"LUV","Week","Jul 22, 2022",40.15,41.76,39.75,40.24,28754327
"LUV","Week","Jul 15, 2022",36.42,39.72,36.22,39.58,34723492
"LUV","Week","Jul 8, 2022",35.72,37.1,35.06,36.7,19465175
"LUV","Week","Jul 1, 2022",37.83,38.4,34.88,36.73,25011935
"LUV","Week","Jun 24, 2022",36.,37.84,34.86,37.73,28317134
"LUV","Week","Jun 17, 2022",39.,39.26,34.36,35.63,40806873
"LUV","Week","Jun 10, 2022",44.54,44.91,39.93,40.14,23303755
"LUV","Week","Jun 3, 2022",44.91,46.46,43.06,43.84,18101037
"LUV","Week","May 27, 2022",43.2,46.12,41.37,45.8,19697185
"LUV","Week","May 20, 2022",42.69,45.35,41.65,42.65,22023560
"LUV","Week","May 13, 2022",45.44,45.73,41.43,42.99,30189931
"LUV","Week","May 6, 2022",46.4,48.18,45.26,46.12,25566487
"LUV","Week","Apr 29, 2022",46.31,48.13,44.54,46.72,33442106
"LUV","Week","Apr 22, 2022",46.45,50.1,46.04,46.85,35180929
"LUV","Week","Apr 14, 2022",41.13,47.16,41.04,46.76,29649152
"LUV","Week","Apr 8, 2022",45.85,46.23,41.18,41.24,36113259
"LUV","Week","Apr 1, 2022",44.65,46.39,43.89,45.91,25905043
"LUV","Week","Mar 25, 2022",42.5,44.72,42.26,44.38,24893826
"LUV","Week","Mar 18, 2022",40.59,43.49,39.21,43.24,48817716
"LUV","Week","Mar 11, 2022",40.39,41.89,36.75,40.24,63031133
"LUV","Week","Mar 4, 2022",44.35,44.84,40.07,40.68,49274311
"LUV","Week","Feb 25, 2022",45.39,46.25,41.2,45.14,31334652
"LUV","Week","Feb 18, 2022",45.67,47.63,44.91,45.98,29224721
"LUV","Week","Feb 11, 2022",44.47,47.74,43.92,45.53,42245827
"LUV","Week","Feb 4, 2022",42.51,45.83,42.28,43.66,33334832
"LUV","Week","Jan 28, 2022",42.38,45.35,40.63,42.93,48837197
"LUV","Week","Jan 21, 2022",45.5,46.2,43.16,43.37,27284595
"LUV","Week","Jan 14, 2022",45.62,46.49,44.29,45.82,36781928
"LUV","Week","Jan 7, 2022",43.17,45.68,42.51,45.35,45713330
"LUV","Week","Dec 31, 2021",41.03,43.19,40.68,42.84,33822907
"LUV","Week","Dec 23, 2021",38.91,41.97,38.66,41.87,40026806
"LUV","Week","Dec 17, 2021",41.47,41.73,39.08,39.66,64237738
"LUV","Week","Dec 10, 2021",44.99,46.96,41.56,41.97,70267435
"LUV","Week","Dec 3, 2021",45.74,45.91,42.39,44.28,57693889
"LUV","Week","Nov 26, 2021",47.09,48.31,43.81,44.96,31117906
"LUV","Week","Nov 19, 2021",49.06,49.38,45.38,46.83,36667245
"LUV","Week","Nov 12, 2021",52.5,52.79,47.83,48.42,34687812
"LUV","Week","Nov 5, 2021",47.34,52.55,47.06,52.23,39908887
"LUV","Week","Oct 29, 2021",47.49,48.15,46.44,47.28,31374099
"LUV","Week","Oct 22, 2021",50.01,50.67,47.42,47.63,38085064
"LUV","Week","Oct 15, 2021",51.99,53.33,50.3,50.36,46257815
"LUV","Week","Oct 8, 2021",55.72,56.33,52.92,53.92,32048873
"LUV","Week","Oct 1, 2021",53.5,54.71,50.88,54.35,39087015
"LUV","Week","Sep 24, 2021",48.83,53.2,47.92,52.85,42507760
"LUV","Week","Sep 17, 2021",48.53,49.83,47.34,49.08,28131550
"LUV","Week","Sep 10, 2021",48.36,50.19,47.82,47.9,25059547
"LUV","Week","Sep 3, 2021",51.03,51.12,48.67,48.86,27329452
"LUV","Week","Aug 27, 2021",48.13,52.02,48.03,50.88,37808704
"LUV","Week","Aug 20, 2021",50.,50.45,46.95,47.36,32496742
"LUV","Week","Aug 13, 2021",50.1,51.97,48.93,50.41,30592518
"LUV","Week","Aug 6, 2021",50.6,51.51,48.5,50.72,37068383
"LUV","Week","Jul 30, 2021",50.38,52.4,50.38,50.52,30447059
"LUV","Week","Jul 23, 2021",48.04,53.52,47.37,50.7,65739601
"LUV","Week","Jul 16, 2021",52.7,53.08,49.7,49.91,36492178
"LUV","Week","Jul 9, 2021",53.76,54.01,50.1,52.84,32135237
"LUV","Week","Jul 2, 2021",54.25,54.38,52.55,53.66,37121975
"LUV","Week","Jun 25, 2021",55.3,56.47,54.23,54.55,31012570
"LUV","Week","Jun 18, 2021",57.5,58.07,54.67,55.19,34419299
"LUV","Week","Jun 11, 2021",58.69,59.3,57.41,57.57,23957049
"LUV","Week","Jun 4, 2021",61.94,62.26,57.91,58.55,25605785
"LUV","Week","May 28, 2021",60.46,62.39,59.81,61.46,23552008
"LUV","Week","May 21, 2021",62.25,63.68,59.29,60.09,32669543
"LUV","Week","May 14, 2021",61.85,62.58,58.08,62.3,30258405
"LUV","Week","May 7, 2021",63.01,63.07,59.85,61.66,27505830
"LUV","Week","Apr 30, 2021",62.13,63.04,61.36,62.78,22628388
"LUV","Week","Apr 23, 2021",62.29,63.7,58.91,61.53,33087421
"LUV","Week","Apr 16, 2021",63.29,64.75,60.63,62.39,29440152
"LUV","Week","Apr 9, 2021",62.45,64.64,62.03,63.42,26769815
"LUV","Week","Apr 1, 2021",61.87,62.37,60.37,61.3,24053039
"LUV","Week","Mar 26, 2021",60.53,61.42,56.42,61.29,37966020
"LUV","Week","Mar 19, 2021",62.05,62.76,59.63,61.05,40748466
"LUV","Week","Mar 12, 2021",58.01,61.16,57.55,61.03,46335458
"LUV","Week","Mar 5, 2021",59.55,59.84,52.29,56.92,50745099
"LUV","Week","Feb 26, 2021",54.03,59.64,53.29,58.13,66545817
"LUV","Week","Feb 19, 2021",51.81,53.84,50.82,52.81,25047966
"LUV","Week","Feb 12, 2021",50.52,53.29,50.21,51.34,34239969
"LUV","Week","Feb 5, 2021",44.34,50.89,44.09,50.05,39277696
"LUV","Week","Jan 29, 2021",47.28,47.34,43.72,43.94,51701026
"LUV","Week","Jan 22, 2021",47.2,48.44,46.76,47.39,22229660
"LUV","Week","Jan 15, 2021",46.51,49.47,46.12,46.66,34982894
"LUV","Week","Jan 8, 2021",46.48,47.94,44.56,46.98,34006313
"LUV","Week","Dec 31, 2020",46.87,47.17,45.68,46.61,20377334
"LUV","Week","Dec 24, 2020",44.76,47.1,44.45,46.28,21671027
"LUV","Week","Dec 18, 2020",46.58,46.6,44.95,46.03,34124094
"LUV","Week","Dec 11, 2020",48.34,48.43,45.02,45.88,53924255
"LUV","Week","Dec 4, 2020",47.65,49.53,46.04,47.59,39902185
"LUV","Week","Nov 27, 2020",46.11,49.23,45.28,47.73,33555509
"LUV","Week","Nov 20, 2020",46.06,47.28,44.43,45.54,47363474
"LUV","Week","Nov 13, 2020",46.85,49.47,41.4,43.88,76230445
"LUV","Week","Nov 6, 2020",39.93,41.25,37.95,40.01,41700724
"LUV","Week","Oct 30, 2020",42.08,42.47,37.48,39.53,47981151
"LUV","Week","Oct 23, 2020",40.,43.39,39.53,42.79,48511409
"LUV","Week","Oct 16, 2020",39.49,39.99,38.14,39.68,34957339
"LUV","Week","Oct 9, 2020",39.16,39.8,37.53,39.73,47760329
"LUV","Week","Oct 2, 2020",38.07,39.32,36.05,38.76,44767719
"LUV","Week","Sep 25, 2020",38.05,39.28,35.82,37.1,51900523
"LUV","Week","Sep 18, 2020",39.35,42.88,39.06,39.83,76111314
"LUV","Week","Sep 11, 2020",39.18,40.8,38.68,38.95,45089786
"LUV","Week","Sep 4, 2020",38.75,40.65,36.56,39.39,64131170
"LUV","Week","Aug 28, 2020",35.29,39.06,34.96,38.81,63349341
"LUV","Week","Aug 21, 2020",35.06,35.78,33.48,34.69,50913882
"LUV","Week","Aug 14, 2020",33.65,37.44,33.55,34.9,66807525
"LUV","Week","Aug 7, 2020",30.75,33.35,30.3,33.28,65170966
"LUV","Week","Jul 31, 2020",31.57,32.67,30.24,30.89,54615701
"LUV","Week","Jul 24, 2020",33.97,34.29,31.57,31.66,72773958
"LUV","Week","Jul 17, 2020",33.42,36.1,31.75,34.13,67561129
