"Ticker","Period","Date","Open","High","Low","Close","Volume"
"MSFT","Month","Aug 4, 2023",335.19000244140625,338.5400085449219,325.95001220703125,327.7799987792969,88014513
"MSFT","Month","Jul 31, 2023",339.19000244140625,366.7799987792969,327.,335.9200134277344,666956355
"MSFT","Month","Jun 30, 2023",325.92999267578125,351.4700012207031,322.5,340.5400085449219,547748450
"MSFT","Month","May 31, 2023",306.9700012207031,335.94000244140625,303.3999938964844,328.3900146484375,600856941
"MSFT","Month","Apr 28, 2023",286.5199890136719,308.92999267578125,275.3699951171875,307.260009765625,551520127
"MSFT","Month","Mar 31, 2023",283.7300109863281,289.2699890136719,283.,288.29998779296875,32765976
"MSFT","Month","Feb 28, 2023",249.07,251.49,248.73,249.42,22490950
"MSFT","Month","Jan 31, 2023",243.45,247.95,242.95,247.81,26541072
"MSFT","Month","Dec 30, 2022",253.87,263.92,233.87,239.82,591366468
"MSFT","Month","Nov 30, 2022",234.6,255.33,213.43,255.14,615328220
"MSFT","Month","Oct 31, 2022",235.41,251.04,219.13,232.13,671366804
"MSFT","Month","Sep 30, 2022",258.87,267.45,232.73,232.9,575595195
"MSFT","Month","Aug 31, 2022",277.82,294.18,260.66,261.47,477176206
"MSFT","Month","Jul 29, 2022",256.39,282.,245.94,280.74,534986150
"MSFT","Month","Jun 30, 2022",275.2,277.69,241.51,256.83,621501474
"MSFT","Month","May 31, 2022",277.71,290.88,246.44,271.87,742902025
"MSFT","Month","Apr 29, 2022",309.37,315.11,270.,277.52,627389584
"MSFT","Month","Mar 31, 2022",296.4,315.95,270.,308.31,734347239
"MSFT","Month","Feb 28, 2022",310.41,315.12,271.52,298.79,697371641
"MSFT","Month","Jan 31, 2022",335.35,338.,276.05,310.98,947989143
"MSFT","Month","Dec 31, 2021",335.13,344.3,317.25,336.32,625971723
"MSFT","Month","Nov 30, 2021",331.36,349.67,326.37,330.59,509885347
"MSFT","Month","Oct 29, 2021",282.12,332.,280.25,331.62,516523658
"MSFT","Month","Sep 30, 2021",302.86,305.32,281.62,281.92,502931199
"MSFT","Month","Aug 31, 2021",286.36,305.84,283.74,301.88,441326364
"MSFT","Month","Jul 30, 2021",269.61,290.15,269.6,284.91,522689102
"MSFT","Month","Jun 30, 2021",251.23,271.65,243.,270.9,508572279
"MSFT","Month","May 28, 2021",253.4,254.35,238.07,249.68,495089530
"MSFT","Month","Apr 30, 2021",238.47,263.19,238.05,252.18,568698272
"MSFT","Month","Mar 31, 2021",235.9,241.05,224.26,235.77,724981506
"MSFT","Month","Feb 26, 2021",235.06,246.13,227.88,232.38,490981819
"MSFT","Month","Jan 29, 2021",222.53,242.64,211.94,231.96,647998091
"MSFT","Month","Dec 31, 2020",214.51,227.18,209.11,222.42,594571054
"MSFT","Month","Nov 30, 2020",204.29,228.12,200.12,214.07,573474483
"MSFT","Month","Oct 30, 2020",213.49,225.21,199.62,202.47,631674298
"MSFT","Month","Sep 30, 2020",225.51,232.86,196.25,210.33,768528897
"MSFT","Month","Aug 31, 2020",211.52,231.15,203.14,225.53,692504241
"MSFT","Month","Jul 31, 2020",203.14,216.38,197.51,205.01,770510188
"MSFT","Month","Jun 30, 2020",182.54,204.4,181.35,203.51,765012029
"MSFT","Month","May 29, 2020",175.8,187.51,173.8,183.25,688959853
"MSFT","Month","Apr 30, 2020",153.,180.4,150.36,179.21,984810925
"MSFT","Month","Mar 31, 2020",165.31,175.,132.52,157.71,1612954386
"MSFT","Month","Feb 28, 2020",170.43,190.7,152.,162.01,887894931
"MSFT","Month","Jan 31, 2020",158.78,174.05,156.51,170.23,559254061
"MSFT","Month","Dec 31, 2019",151.81,159.55,146.65,157.7,452664147
"MSFT","Month","Nov 29, 2019",144.26,152.5,142.96,151.38,393028043
"MSFT","Month","Oct 31, 2019",139.66,145.67,133.22,143.37,563293196
"MSFT","Month","Sep 30, 2019",136.61,142.37,134.51,139.03,477645820
"MSFT","Month","Aug 30, 2019",137.,140.94,130.78,137.86,585344645
"MSFT","Month","Jul 31, 2019",136.63,141.68,134.67,136.27,484553323
"MSFT","Month","Jun 28, 2019",123.85,138.4,119.01,133.96,508324437
"MSFT","Month","May 31, 2019",130.53,130.65,123.04,123.68,547218448
"MSFT","Month","Apr 30, 2019",118.95,131.37,118.1,130.6,433157868
"MSFT","Month","Mar 29, 2019",112.89,120.82,108.8,117.94,589045341
"MSFT","Month","Feb 28, 2019",103.78,113.24,102.35,112.03,469095970
"MSFT","Month","Jan 31, 2019",99.55,107.9,97.2,104.43,714204787
"MSFT","Month","Dec 31, 2018",113.,113.42,93.96,101.57,944287635
"MSFT","Month","Nov 30, 2018",107.05,112.24,99.35,110.89,720228643
"MSFT","Month","Oct 31, 2018",114.75,116.18,100.11,106.81,927547957
"MSFT","Month","Sep 28, 2018",110.85,115.29,107.23,114.37,480255674
"MSFT","Month","Aug 31, 2018",106.03,112.78,104.84,112.33,456630721
"MSFT","Month","Jul 31, 2018",98.1,111.15,98.,106.08,569501573
"MSFT","Month","Jun 29, 2018",99.28,102.69,97.26,98.61,602585341
"MSFT","Month","May 31, 2018",93.21,99.99,92.45,98.84,509418119
"MSFT","Month","Apr 30, 2018",90.47,97.9,87.51,93.52,668258570
"MSFT","Month","Mar 29, 2018",93.99,97.24,87.08,91.27,750754886
"MSFT","Month","Feb 28, 2018",94.79,96.07,83.83,93.77,725663228
"MSFT","Month","Jan 31, 2018",86.12,95.45,85.5,95.01,574258506
"MSFT","Month","Dec 29, 2017",83.6,87.5,80.7,85.54,466203334
"MSFT","Month","Nov 30, 2017",83.68,85.06,82.24,84.17,421925859
"MSFT","Month","Oct 31, 2017",74.71,86.2,73.71,83.18,449949950
"MSFT","Month","Sep 29, 2017",74.71,75.97,72.92,74.49,376670198
"MSFT","Month","Aug 31, 2017",73.1,74.96,71.28,74.77,442761884
"MSFT","Month","Jul 31, 2017",69.33,74.42,68.02,72.7,469851277
"MSFT","Month","Jun 30, 2017",70.24,72.89,68.09,68.93,629716618
"MSFT","Month","May 31, 2017",68.68,70.74,67.14,69.84,517291484
"MSFT","Month","Apr 28, 2017",65.81,69.14,64.85,68.46,433191187
"MSFT","Month","Mar 31, 2017",64.13,66.19,63.62,65.86,489173200
"MSFT","Month","Feb 28, 2017",64.36,65.24,62.75,63.98,440744043
"MSFT","Month","Jan 31, 2017",62.79,65.91,61.95,64.65,494435826
"MSFT","Month","Dec 30, 2016",60.11,64.1,58.8,62.14,513579428
"MSFT","Month","Nov 30, 2016",59.97,61.41,57.28,60.26,613056964
"MSFT","Month","Oct 31, 2016",57.4,61.37,56.31,59.92,614841775
"MSFT","Month","Sep 30, 2016",57.01,58.19,55.61,57.6,526855083
"MSFT","Month","Aug 31, 2016",56.6,58.7,56.14,57.46,467079004
"MSFT","Month","Jul 29, 2016",51.13,57.29,50.39,56.68,647587634
"MSFT","Month","Jun 30, 2016",52.44,52.95,48.03,51.17,823987498
"MSFT","Month","May 31, 2016",50.,53.,49.46,53.,530869347
"MSFT","Month","Apr 29, 2016",55.05,56.77,49.35,49.87,699025640
"MSFT","Month","Mar 31, 2016",50.97,55.64,50.58,55.23,641131952
"MSFT","Month","Feb 29, 2016",54.88,55.09,48.19,50.88,814770780
"MSFT","Month","Jan 29, 2016",54.32,55.39,49.1,55.09,927914485
"MSFT","Month","Dec 31, 2015",54.41,56.85,53.68,55.48,793070000
"MSFT","Month","Nov 30, 2015",52.85,54.98,52.53,54.35,662626721
"MSFT","Month","Oct 30, 2015",44.75,54.37,43.75,52.64,857330655
"MSFT","Month","Sep 30, 2015",42.17,45.,41.66,44.26,673079858
"MSFT","Month","Aug 31, 2015",46.98,48.41,39.72,43.52,776497465
"MSFT","Month","Jul 31, 2015",44.46,47.4,43.32,46.7,725458102
"MSFT","Month","Jun 30, 2015",47.06,47.77,43.94,44.15,664853340
"MSFT","Month","May 29, 2015",48.58,48.9,46.02,46.86,633072750
"MSFT","Month","Apr 30, 2015",40.6,49.54,40.12,48.64,874535095
"MSFT","Month","Mar 31, 2015",43.67,44.19,40.54,40.65,824335340
"MSFT","Month","Feb 27, 2015",40.59,44.3,40.23,43.85,656509827
"MSFT","Month","Jan 30, 2015",46.66,47.91,40.35,40.4,918966561
"MSFT","Month","Dec 31, 2014",47.88,49.06,44.9,46.45,626810606
"MSFT","Month","Nov 28, 2014",46.89,50.04,46.73,47.81,523008240
"MSFT","Month","Oct 31, 2014",46.27,46.97,42.1,46.95,853297059
"MSFT","Month","Sep 30, 2014",45.43,47.57,44.53,46.36,860844169
"MSFT","Month","Aug 29, 2014",43.21,45.47,42.21,45.43,513934779
"MSFT","Month","Jul 31, 2014",41.86,45.71,41.05,43.16,731660016
"MSFT","Month","Jun 30, 2014",40.95,42.29,39.86,41.7,555812233
"MSFT","Month","May 30, 2014",40.24,40.97,38.51,40.94,574399726
"MSFT","Month","Apr 30, 2014",41.15,41.66,38.9,40.4,746148707
"MSFT","Month","Mar 31, 2014",37.92,41.5,37.49,40.99,778550220
"MSFT","Month","Feb 28, 2014",37.74,38.46,35.69,38.31,718232083
"MSFT","Month","Jan 31, 2014",37.35,37.89,34.63,37.84,932088007
"MSFT","Month","Dec 31, 2013",38.09,38.98,35.53,37.41,826638293
"MSFT","Month","Nov 29, 2013",35.67,38.29,35.39,38.13,800462910
"MSFT","Month","Oct 31, 2013",33.35,36.29,32.8,35.4,965360086
"MSFT","Month","Sep 30, 2013",31.75,33.75,30.95,33.28,1245168585
"MSFT","Month","Aug 30, 2013",32.06,35.2,30.84,33.4,1051312159
"MSFT","Month","Jul 31, 2013",34.75,36.43,31.02,31.84,1111194572
"MSFT","Month","Jun 28, 2013",34.92,35.78,32.57,34.54,945223686
"MSFT","Month","May 31, 2013",32.93,35.28,32.32,34.9,1071952411
"MSFT","Month","Apr 30, 2013",28.64,33.11,28.11,33.1,1465815366
"MSFT","Month","Mar 28, 2013",27.72,28.66,27.52,28.6,845032620
"MSFT","Month","Feb 28, 2013",27.67,28.2,27.1,27.8,780654276
"MSFT","Month","Jan 31, 2013",27.25,28.23,26.28,27.45,1145115182
"MSFT","Month","Dec 31, 2012",26.78,27.73,26.26,26.71,947413488
"MSFT","Month","Nov 30, 2012",28.84,30.2,26.34,26.61,1310567462
"MSFT","Month","Oct 31, 2012",29.81,30.25,27.76,28.54,1105487005
"MSFT","Month","Sep 28, 2012",30.45,31.61,29.74,29.76,893165301
"MSFT","Month","Aug 31, 2012",29.59,30.96,28.97,30.82,671795471
"MSFT","Month","Jul 31, 2012",30.62,31.05,28.54,29.47,846663561
"MSFT","Month","Jun 29, 2012",28.76,31.14,28.32,30.59,973170889
"MSFT","Month","May 31, 2012",32.05,32.33,28.64,29.19,1014429287
"MSFT","Month","Apr 30, 2012",32.22,32.89,30.23,32.01,940486035
"MSFT","Month","Mar 30, 2012",31.93,32.95,31.49,32.26,942419632
"MSFT","Month","Feb 29, 2012",29.79,32.,29.71,31.74,984398283
"MSFT","Month","Jan 31, 2012",26.55,29.95,26.39,29.53,1354912519
"MSFT","Month","Dec 30, 2011",25.56,26.19,25.16,25.96,1007182069
"MSFT","Month","Nov 30, 2011",26.19,27.2,24.3,25.58,1046244317
"MSFT","Month","Oct 31, 2011",24.72,27.5,24.26,26.63,1218183077
"MSFT","Month","Sep 30, 2011",26.46,27.5,24.6,24.89,1279992356
"MSFT","Month","Aug 31, 2011",27.51,27.68,23.79,26.6,1719389985
"MSFT","Month","Jul 29, 2011",25.93,28.15,25.84,27.4,1259395485
"MSFT","Month","Jun 30, 2011",24.99,26.,23.65,26.,1297830077
"MSFT","Month","May 31, 2011",25.94,26.25,24.03,25.01,1364179111
"MSFT","Month","Apr 29, 2011",25.53,26.87,24.72,25.92,1313887174
"MSFT","Month","Mar 31, 2011",26.6,26.78,24.68,25.39,1311029051
"MSFT","Month","Feb 28, 2011",27.8,28.34,26.43,26.58,1114409191
"MSFT","Month","Jan 31, 2011",28.05,29.46,27.42,27.73,1361327105
"MSFT","Month","Dec 31, 2010",25.57,28.4,25.56,27.91,1033857222
"MSFT","Month","Nov 30, 2010",26.88,27.49,24.93,25.26,1361330965
"MSFT","Month","Oct 29, 2010",24.77,27.2,23.78,26.67,1281541664
"MSFT","Month","Sep 30, 2010",23.67,25.53,23.54,24.49,1273583971
"MSFT","Month","Aug 31, 2010",25.99,26.38,23.32,23.47,1279579985
"MSFT","Month","Jul 30, 2010",23.09,26.41,22.73,25.81,1410632271
"MSFT","Month","Jun 30, 2010",25.53,26.93,22.95,23.01,1671888932
"MSFT","Month","May 28, 2010",30.67,31.06,24.56,25.8,1720357038
"MSFT","Month","Apr 30, 2010",29.35,31.58,28.62,30.53,1319076663
"MSFT","Month","Mar 31, 2010",28.77,30.57,28.24,29.29,1110339433
"MSFT","Month","Feb 26, 2010",28.39,29.03,27.57,28.67,1074678049
"MSFT","Month","Jan 29, 2010",30.62,31.24,27.66,28.18,1359725036
"MSFT","Month","Dec 31, 2009",29.52,31.5,29.25,30.48,920649365
"MSFT","Month","Nov 30, 2009",27.7,30.14,27.41,29.41,1018302403
"MSFT","Month","Oct 30, 2009",25.41,29.35,24.43,27.73,1523468261
"MSFT","Month","Sep 30, 2009",24.35,26.25,23.76,25.72,1039017910
"MSFT","Month","Aug 31, 2009",23.82,25.49,23.03,24.65,993305747
"MSFT","Month","Jul 31, 2009",24.05,25.72,22.,23.52,1517498865
"MSFT","Month","Jun 30, 2009",21.,24.34,20.86,23.77,1411202992
"MSFT","Month","May 29, 2009",20.19,20.94,19.01,20.89,1101595331
"MSFT","Month","Apr 30, 2009",18.23,21.2,18.18,20.26,1562427579
"MSFT","Month","Mar 31, 2009",15.96,18.88,14.87,18.37,1626225406
"MSFT","Month","Feb 27, 2009",17.03,19.93,16.1,16.15,1456270293
"MSFT","Month","Jan 30, 2009",19.53,21.,16.75,17.1,1565598322
"MSFT","Month","Dec 31, 2008",19.88,21.25,18.47,19.44,1549801477
"MSFT","Month","Nov 28, 2008",22.48,23.66,17.5,20.22,1798548547
"MSFT","Month","Oct 31, 2008",26.38,27.47,20.65,22.33,3046714744
"MSFT","Month","Sep 30, 2008",27.67,27.76,23.5,26.69,1928443207
"MSFT","Month","Aug 29, 2008",25.92,28.5,25.07,27.29,1207028189
"MSFT","Month","Jul 31, 2008",27.26,27.91,24.87,25.72,1637588437
"MSFT","Month","Jun 30, 2008",28.24,29.57,27.11,27.51,1565585234
"MSFT","Month","May 30, 2008",28.5,30.53,27.95,28.32,1405245040
"MSFT","Month","Apr 30, 2008",28.83,32.1,27.93,28.52,1447714660
"MSFT","Month","Mar 31, 2008",27.24,29.59,26.87,28.38,1452976927
"MSFT","Month","Feb 29, 2008",31.06,33.25,27.02,27.2,2324910040
"MSFT","Month","Jan 31, 2008",35.79,35.96,31.04,32.6,1948521336
"MSFT","Month","Dec 31, 2007",33.5,36.72,32.63,35.6,1066794713
"MSFT","Month","Nov 30, 2007",36.53,37.5,32.68,33.6,1830875503
"MSFT","Month","Oct 31, 2007",29.46,37.,29.29,36.81,1772114117
"MSFT","Month","Sep 28, 2007",28.5,29.85,28.27,29.46,1117552616
"MSFT","Month","Aug 31, 2007",28.95,30.1,27.51,28.73,1228925068
"MSFT","Month","Jul 31, 2007",29.67,31.84,28.95,28.99,1298997370
"MSFT","Month","Jun 29, 2007",30.79,30.9,29.04,29.47,1185588004
"MSFT","Month","May 31, 2007",29.94,31.16,29.9,30.69,1331550064
"MSFT","Month","Apr 30, 2007",27.89,30.74,27.56,29.94,966268240
"MSFT","Month","Mar 30, 2007",27.82,28.55,26.6,27.87,1276300955
"MSFT","Month","Feb 28, 2007",30.84,30.94,27.79,28.17,1294319970
"MSFT","Month","Jan 31, 2007",29.91,31.48,29.4,30.86,1327997846
"MSFT","Month","Dec 29, 2006",29.23,30.26,28.8,29.86,1141333184
"MSFT","Month","Nov 30, 2006",28.78,30.,28.58,29.36,1241604020
"MSFT","Month","Oct 31, 2006",27.32,28.85,27.15,28.71,1287567693
"MSFT","Month","Sep 29, 2006",25.89,27.52,25.39,27.35,1099651092
"MSFT","Month","Aug 31, 2006",24.02,26.25,23.85,25.7,1134375465
"MSFT","Month","Jul 31, 2006",23.53,24.6,22.23,24.06,1333406382
"MSFT","Month","Jun 30, 2006",22.74,23.65,21.46,23.3,1979344334
"MSFT","Month","May 31, 2006",24.32,25.,22.45,22.65,2315215785
"MSFT","Month","Apr 28, 2006",27.67,27.94,24.,24.15,1450450956
"MSFT","Month","Mar 31, 2006",26.98,28.22,26.62,27.21,1439457557
"MSFT","Month","Feb 28, 2006",27.96,28.07,26.34,26.87,1049345723
"MSFT","Month","Jan 31, 2006",26.25,28.38,26.1,28.15,1388974801
"MSFT","Month","Dec 30, 2005",27.73,28.1,26.1,26.15,1273986533
"MSFT","Month","Nov 30, 2005",25.61,28.25,25.61,27.68,1445449024
"MSFT","Month","Oct 31, 2005",25.71,25.8,24.25,25.7,1445164008
"MSFT","Month","Sep 30, 2005",27.38,27.39,25.12,25.73,1353376356
"MSFT","Month","Aug 31, 2005",25.81,27.94,25.76,27.38,1449319081
"MSFT","Month","Jul 29, 2005",24.85,26.48,24.5,25.61,1333206684
"MSFT","Month","Jun 30, 2005",25.73,26.,24.82,24.84,1324213263
"MSFT","Month","May 31, 2005",25.23,26.09,24.64,25.8,1274236392
"MSFT","Month","Apr 29, 2005",24.24,25.45,23.94,25.3,1524803651
"MSFT","Month","Mar 31, 2005",25.19,25.79,23.82,24.17,1566634582
"MSFT","Month","Feb 28, 2005",26.25,26.5,25.13,25.16,1366991790
"MSFT","Month","Jan 31, 2005",26.8,27.1,25.64,26.28,1528935401
"MSFT","Month","Dec 31, 2004",26.95,27.44,26.68,26.72,1827105648
"MSFT","Month","Nov 30, 2004",28.15,30.2,26.1,26.81,1747996283
"MSFT","Month","Oct 29, 2004",27.81,28.89,27.55,27.97,1302915085
"MSFT","Month","Sep 30, 2004",27.24,27.79,26.74,27.65,1144872135
"MSFT","Month","Aug 31, 2004",28.29,28.55,26.85,27.3,1094590595
"MSFT","Month","Jul 30, 2004",28.68,29.65,27.25,28.49,1553764800
"MSFT","Month","Jun 30, 2004",26.11,28.8,25.86,28.56,1541909680
"MSFT","Month","May 28, 2004",26.21,26.6,25.42,26.23,1142830358
"MSFT","Month","Apr 30, 2004",24.95,27.72,24.85,26.13,1562014046
"MSFT","Month","Mar 31, 2004",26.65,26.72,24.01,24.93,1704183514
"MSFT","Month","Feb 27, 2004",27.63,27.8,26.35,26.53,1033955276
"MSFT","Month","Jan 30, 2004",27.58,28.83,27.26,27.65,1233889934
"MSFT","Month","Dec 31, 2003",25.9,27.55,25.5,27.37,1477502211
"MSFT","Month","Nov 28, 2003",26.35,26.75,24.84,25.71,1447986100
"MSFT","Month","Oct 31, 2003",28.03,29.46,25.91,26.14,1407467932
"MSFT","Month","Sep 30, 2003",26.7,30.,26.47,27.8,1255493176
"MSFT","Month","Aug 29, 2003",26.33,26.95,25.43,26.52,968166716
"MSFT","Month","Jul 31, 2003",25.59,27.81,25.39,26.41,1296229248
"MSFT","Month","Jun 30, 2003",24.98,26.51,23.6,25.64,1579211728
"MSFT","Month","May 30, 2003",25.54,26.5,23.89,24.61,1313754167
"MSFT","Month","Apr 30, 2003",24.47,26.43,23.95,25.56,1253164170
"MSFT","Month","Mar 31, 2003",24.02,26.9,22.55,24.21,1372170826
"MSFT","Month","Feb 28, 2003",23.97,24.99,23.,23.7,1352405238
"MSFT","Month","Jan 31, 2003",26.15,28.66,23.51,23.73,1726911418
"MSFT","Month","Dec 31, 2002",29.33,29.48,25.63,25.85,1272413298
"MSFT","Month","Nov 29, 2002",26.22,29.32,25.95,28.84,1546661860
"MSFT","Month","Oct 31, 2002",22.12,27.03,21.59,26.74,2482976138
"MSFT","Month","Sep 30, 2002",24.26,25.55,21.56,21.87,1701215942
"MSFT","Month","Aug 30, 2002",23.79,26.73,21.9,24.54,1722638904
"MSFT","Month","Jul 31, 2002",27.06,27.47,20.7,23.99,2436840348
"MSFT","Month","Jun 28, 2002",25.5,28.22,24.58,27.35,1836669800
"MSFT","Month","May 31, 2002",26.08,28.22,24.18,25.45,1421113000
"MSFT","Month","Apr 30, 2002",29.92,30.2,25.72,26.13,1421162600
"MSFT","Month","Mar 28, 2002",29.52,32.5,29.16,30.16,1067041800
"MSFT","Month","Feb 28, 2002",32.08,32.25,28.58,29.17,1131282800
"MSFT","Month","Jan 31, 2002",33.33,35.31,30.67,31.85,1361910800
"MSFT","Month","Dec 31, 2001",31.92,34.95,31.9,33.12,977232000
"MSFT","Month","Nov 30, 2001",30.04,34.17,29.8,32.1,1331162600
"MSFT","Month","Oct 31, 2001",25.47,31.82,25.2,29.08,1751754000
"MSFT","Month","Sep 28, 2001",28.59,29.54,23.75,25.58,1510924800
"MSFT","Month","Aug 31, 2001",33.4,33.77,28.15,28.52,1154330600
"MSFT","Month","Jul 31, 2001",36.03,36.58,32.1,33.1,1456774200
"MSFT","Month","Jun 29, 2001",34.8,38.08,33.01,36.5,1449831400
"MSFT","Month","May 31, 2001",33.83,36.08,33.62,34.59,1777727000
"MSFT","Month","Apr 30, 2001",27.41,35.55,25.53,33.88,2082682600
"MSFT","Month","Mar 30, 2001",29.28,30.56,24.88,27.34,1895615600
"MSFT","Month","Feb 28, 2001",30.41,32.53,26.94,29.5,1541634400
"MSFT","Month","Jan 31, 2001",22.06,32.38,21.44,30.53,2005575600
"MSFT","Month","Dec 29, 2000",29.03,30.31,20.12,21.69,2267225000
"MSFT","Month","Nov 30, 2000",34.25,36.19,28.5,28.69,1983482400
"MSFT","Month","Oct 31, 2000",30.25,35.06,24.22,34.44,2469541200
"MSFT","Month","Sep 29, 2000",35.,36.03,29.31,30.16,1425462800
"MSFT","Month","Aug 31, 2000",34.97,37.44,34.06,34.91,1219400000
"MSFT","Month","Jul 31, 2000",39.84,41.44,33.62,34.91,1234190200
"MSFT","Month","Jun 30, 2000",32.19,41.09,31.91,40.,1466901200
"MSFT","Month","May 31, 2000",36.44,37.,30.19,31.28,1344438000
"MSFT","Month","Apr 28, 2000",47.22,48.25,32.5,34.88,2260247000
"MSFT","Month","Mar 31, 2000",44.81,57.5,44.47,53.12,2028191200
"MSFT","Month","Feb 29, 2000",49.25,55.,44.06,44.69,1334498200
"MSFT","Month","Jan 31, 2000",58.69,59.31,47.44,48.94,1274878600
