"Ticker","Period","Date","Open","High","Low","Close","Volume"
"ORCL","Month","Aug 4, 2023",116.91999816894531,118.04000091552734,114.25499725341797,114.44000244140625,22433608
"ORCL","Month","Jul 31, 2023",118.01000213623047,121.3550033569336,113.43000030517578,117.2300033569336,156305367
"ORCL","Month","Jun 30, 2023",104.87999725341797,127.54000091552734,104.77999877929688,119.08999633789062,329393820
"ORCL","Month","May 31, 2023",94.80000305175781,106.48999786376953,93.8499984741211,105.94000244140625,175860809
"ORCL","Month","Apr 28, 2023",92.37999725341797,96.74130249023438,92.08999633789062,94.72000122070312,130420891
"ORCL","Month","Mar 31, 2023",90.55999755859375,93.,90.41000366210938,92.91999816894531,10476333
"ORCL","Month","Feb 28, 2023",87.7,88.01,87.18,87.4,7468234
"ORCL","Month","Jan 31, 2023",87.69,88.48,87.35,88.46,6200413
"ORCL","Month","Dec 30, 2022",83.05,85.58,78.06,81.74,172464399
"ORCL","Month","Nov 30, 2022",78.6,83.49,74.05,83.03,143314095
"ORCL","Month","Oct 31, 2022",60.99,78.33,60.81,78.07,200168178
"ORCL","Month","Sep 30, 2022",74.12,79.41,60.78,61.07,232948181
"ORCL","Month","Aug 31, 2022",77.18,79.88,73.46,74.15,117161905
"ORCL","Month","Jul 29, 2022",69.85,78.16,68.23,77.84,126255818
"ORCL","Month","Jun 30, 2022",73.02,74.84,63.76,69.87,219813870
"ORCL","Month","May 31, 2022",73.93,75.35,66.72,71.92,162439856
"ORCL","Month","Apr 29, 2022",83.04,84.52,73.15,73.4,131274517
"ORCL","Month","Mar 31, 2022",75.98,84.51,73.11,82.73,243940680
"ORCL","Month","Feb 28, 2022",81.4,83.78,70.23,75.97,144702504
"ORCL","Month","Jan 31, 2022",87.33,89.58,78.57,81.16,200590508
"ORCL","Month","Dec 31, 2021",91.69,106.34,87.18,87.21,271043745
"ORCL","Month","Nov 30, 2021",96.,96.96,90.61,90.74,156029087
"ORCL","Month","Oct 29, 2021",87.76,98.95,87.6,95.94,177727462
"ORCL","Month","Sep 30, 2021",89.26,92.27,84.73,87.13,299393766
"ORCL","Month","Aug 31, 2021",87.73,91.78,87.09,89.13,154884992
"ORCL","Month","Jul 30, 2021",77.98,91.2,77.91,87.14,278074940
"ORCL","Month","Jun 30, 2021",79.58,85.03,75.9,77.84,276739086
"ORCL","Month","May 28, 2021",76.28,80.72,76.08,78.74,219875537
"ORCL","Month","Apr 30, 2021",70.46,80.21,70.33,75.79,274748750
"ORCL","Month","Mar 31, 2021",64.95,73.62,64.77,70.17,385411900
"ORCL","Month","Feb 26, 2021",60.92,66.36,60.74,64.51,203019825
"ORCL","Month","Jan 29, 2021",64.69,64.7,59.74,60.43,173105470
"ORCL","Month","Dec 31, 2020",58.2,66.2,58.01,64.69,291094927
"ORCL","Month","Nov 30, 2020",56.44,59.08,55.56,57.72,187067081
"ORCL","Month","Oct 30, 2020",60.17,61.83,55.14,56.11,209804919
"ORCL","Month","Sep 30, 2020",57.37,62.6,54.87,59.7,426744881
"ORCL","Month","Aug 31, 2020",55.78,58.45,53.66,57.22,217959783
"ORCL","Month","Jul 31, 2020",54.69,57.84,54.33,55.45,274221752
"ORCL","Month","Jun 30, 2020",53.28,55.97,50.91,55.27,336678763
"ORCL","Month","May 29, 2020",52.38,54.15,50.86,53.77,213869462
"ORCL","Month","Apr 30, 2020",46.55,54.72,46.04,52.97,261552902
"ORCL","Month","Mar 31, 2020",49.73,51.84,39.71,48.33,500033070
"ORCL","Month","Feb 28, 2020",52.73,55.89,47.9,49.46,193550002
"ORCL","Month","Jan 31, 2020",53.27,55.69,52.28,52.45,200562662
"ORCL","Month","Dec 31, 2019",56.23,56.66,52.55,52.98,265701287
"ORCL","Month","Nov 29, 2019",54.81,57.06,54.55,56.14,157224334
"ORCL","Month","Oct 31, 2019",55.04,57.33,52.67,54.49,252844437
"ORCL","Month","Sep 30, 2019",51.94,56.29,51.55,55.03,336799391
"ORCL","Month","Aug 30, 2019",56.3,56.85,51.25,52.06,225972954
"ORCL","Month","Jul 31, 2019",57.15,60.5,55.62,56.3,251481004
"ORCL","Month","Jun 28, 2019",50.56,57.47,49.89,56.97,417220321
"ORCL","Month","May 31, 2019",55.32,55.42,50.51,50.6,240093024
"ORCL","Month","Apr 30, 2019",53.88,55.53,53.33,55.33,193507042
"ORCL","Month","Mar 29, 2019",52.5,54.38,51.,53.71,370697217
"ORCL","Month","Feb 28, 2019",50.52,53.03,49.82,52.13,257842921
"ORCL","Month","Jan 31, 2019",44.48,50.5,44.41,50.23,324808269
"ORCL","Month","Dec 31, 2018",49.44,50.22,42.4,45.15,539064202
"ORCL","Month","Nov 30, 2018",48.96,51.44,46.78,48.76,371552674
"ORCL","Month","Oct 31, 2018",51.22,51.99,46.33,48.84,444354621
"ORCL","Month","Sep 28, 2018",48.36,52.11,47.33,51.56,423451644
