"Ticker","Period","Date","Open","High","Low","Close","Volume"
"ORLY","Month","Aug 4, 2023",926.4400024414062,937.9199829101562,917.9299926757812,925.9299926757812,1598867
"ORLY","Month","Jul 31, 2023",954.4600219726562,975.719970703125,914.39501953125,925.7899780273438,7912250
"ORLY","Month","Jun 30, 2023",903.3099975585938,959.7999877929688,875.0599975585938,955.2999877929688,10665096
"ORLY","Month","May 31, 2023",917.75,964.5800170898438,873.780029296875,903.3099975585938,10108957
"ORLY","Month","Apr 28, 2023",851.6699829101562,922.7999877929688,851.219970703125,917.3099975585938,6582640
"ORLY","Month","Mar 31, 2023",843.0999755859375,850.,842.8800048828125,848.97998046875,404367
"ORLY","Month","Feb 28, 2023",845.13,847.39,828.4,830.1,567636
"ORLY","Month","Jan 31, 2023",796.65,802.38,785.24,792.35,413514
"ORLY","Month","Dec 30, 2022",869.06,869.99,800.38,844.03,9053078
"ORLY","Month","Nov 30, 2022",838.51,870.92,805.25,864.54,9654292
"ORLY","Month","Oct 31, 2022",708.54,845.24,705.71,837.17,10641261
"ORLY","Month","Sep 30, 2022",699.31,729.57,680.,703.35,10582646
"ORLY","Month","Aug 31, 2022",701.27,750.88,692.29,697.12,9692751
"ORLY","Month","Jul 29, 2022",626.92,711.87,624.85,703.59,9198714
"ORLY","Month","Jun 30, 2022",640.,650.53,580.01,631.76,11957410
"ORLY","Month","May 31, 2022",603.21,652.3,562.9,637.17,16084663
"ORLY","Month","Apr 29, 2022",688.41,748.68,606.01,606.55,12162914
"ORLY","Month","Mar 31, 2022",647.42,705.,645.71,684.96,13730773
"ORLY","Month","Feb 28, 2022",651.36,684.43,620.82,649.24,12222330
"ORLY","Month","Jan 31, 2022",703.76,708.71,629.51,651.75,10333587
"ORLY","Month","Dec 31, 2021",642.41,710.86,636.26,706.23,9134031
"ORLY","Month","Nov 30, 2021",622.33,659.52,614.01,638.16,7709394
"ORLY","Month","Oct 29, 2021",612.82,669.09,594.2,622.32,8853946
"ORLY","Month","Sep 30, 2021",596.,629.4,573.93,611.06,9399727
"ORLY","Month","Aug 31, 2021",604.55,617.3,590.07,594.08,8177753
"ORLY","Month","Jul 30, 2021",566.92,621.73,566.39,603.84,7744927
"ORLY","Month","Jun 30, 2021",537.05,569.47,519.32,566.21,10568623
"ORLY","Month","May 28, 2021",555.1,568.63,527.46,535.12,10099610
"ORLY","Month","Apr 30, 2021",509.61,553.43,504.12,552.88,9898692
"ORLY","Month","Mar 31, 2021",450.1,512.24,446.56,507.25,13451575
"ORLY","Month","Feb 26, 2021",428.3,464.57,425.49,447.33,13287110
"ORLY","Month","Jan 29, 2021",454.22,496.61,424.03,425.47,12932091
"ORLY","Month","Dec 31, 2020",446.36,467.77,437.22,452.57,12374655
"ORLY","Month","Nov 30, 2020",442.71,470.46,434.96,442.44,9997815
"ORLY","Month","Oct 30, 2020",462.93,475.38,431.26,436.6,10245696
"ORLY","Month","Sep 30, 2020",467.35,484.99,437.35,461.08,10219142
"ORLY","Month","Aug 31, 2020",479.61,480.7,452.52,465.63,9621031
"ORLY","Month","Jul 31, 2020",419.94,487.95,413.,477.38,13266307
"ORLY","Month","Jun 30, 2020",418.95,434.37,401.65,421.67,13083281
"ORLY","Month","May 29, 2020",379.39,423.31,373.14,417.24,13018761
"ORLY","Month","Apr 30, 2020",288.42,399.99,283.59,386.34,18202914
"ORLY","Month","Mar 31, 2020",367.01,394.55,251.51,301.05,28761126
"ORLY","Month","Feb 28, 2020",407.84,421.71,358.87,368.72,19305995
"ORLY","Month","Jan 31, 2020",438.5,446.83,405.,406.1,12836018
"ORLY","Month","Dec 31, 2019",443.38,448.53,433.63,438.26,8757656
"ORLY","Month","Nov 29, 2019",437.93,454.31,432.18,442.28,7969240
"ORLY","Month","Oct 31, 2019",400.04,446.78,383.77,435.51,11293424
"ORLY","Month","Sep 30, 2019",380.,409.17,378.24,398.51,10656641
"ORLY","Month","Aug 30, 2019",380.86,390.01,359.86,383.76,13009349
"ORLY","Month","Jul 31, 2019",373.,407.2,371.1,380.76,13012311
"ORLY","Month","Jun 28, 2019",371.49,391.15,364.08,369.32,10755850
"ORLY","Month","May 31, 2019",377.69,383.11,349.71,371.37,15129700
"ORLY","Month","Apr 30, 2019",391.4,414.63,367.12,378.57,14687923
"ORLY","Month","Mar 29, 2019",373.1,391.78,361.54,388.3,11831116
"ORLY","Month","Feb 28, 2019",346.08,394.42,342.77,371.96,15641017
"ORLY","Month","Jan 31, 2019",335.82,353.73,329.86,344.66,14591168
"ORLY","Month","Dec 31, 2018",350.37,356.4,326.71,344.33,13509742
"ORLY","Month","Nov 30, 2018",319.11,363.2,318.33,346.78,14950622
"ORLY","Month","Oct 31, 2018",349.38,349.67,314.14,320.75,17072255
"ORLY","Month","Sep 28, 2018",335.52,351.65,329.99,347.32,10968612
"ORLY","Month","Aug 31, 2018",302.66,335.98,301.02,335.42,11920564
"ORLY","Month","Jul 31, 2018",272.45,310.,270.97,306.,14193472
"ORLY","Month","Jun 29, 2018",269.91,290.35,269.26,273.57,13956030
"ORLY","Month","May 31, 2018",254.09,280.4,254.09,269.41,16398299
"ORLY","Month","Apr 30, 2018",245.48,265.,217.64,256.07,22868136
"ORLY","Month","Mar 29, 2018",243.63,254.11,237.7,247.38,15594262
"ORLY","Month","Feb 28, 2018",263.01,266.47,238.41,244.19,22624303
"ORLY","Month","Jan 31, 2018",241.34,279.23,241.29,264.69,18277188
"ORLY","Month","Dec 29, 2017",235.,263.63,228.34,240.54,21316240
"ORLY","Month","Nov 30, 2017",211.24,241.63,205.65,236.21,18560367
"ORLY","Month","Oct 31, 2017",215.98,217.91,190.,210.95,23752060
"ORLY","Month","Sep 29, 2017",197.19,219.98,194.06,215.37,24170788
"ORLY","Month","Aug 31, 2017",204.44,211.02,186.82,196.13,32456679
"ORLY","Month","Jul 31, 2017",218.74,220.89,169.43,204.3,58573692
"ORLY","Month","Jun 30, 2017",243.54,246.51,215.76,218.74,29155514
"ORLY","Month","May 31, 2017",248.44,260.31,234.14,242.08,34887759
"ORLY","Month","Apr 28, 2017",266.,270.1,245.01,248.15,24212213
"ORLY","Month","Mar 31, 2017",273.24,276.74,267.04,269.84,19097352
"ORLY","Month","Feb 28, 2017",262.19,277.4,253.54,271.71,21985561
"ORLY","Month","Jan 31, 2017",280.,283.97,259.15,262.27,15513490
"ORLY","Month","Dec 30, 2016",273.62,286.57,272.17,278.41,13450650
"ORLY","Month","Nov 30, 2016",263.9,279.36,250.07,274.5,19190046
"ORLY","Month","Oct 31, 2016",279.43,283.2,251.62,264.44,19106709
"ORLY","Month","Sep 30, 2016",280.7,285.67,272.42,280.11,17070999
"ORLY","Month","Aug 31, 2016",290.63,291.68,276.67,279.95,12138531
"ORLY","Month","Jul 29, 2016",271.88,292.84,266.8,290.63,14443888
"ORLY","Month","Jun 30, 2016",264.34,274.79,255.01,271.1,14621549
"ORLY","Month","May 31, 2016",262.75,269.68,248.02,264.43,15585017
"ORLY","Month","Apr 29, 2016",273.19,277.83,260.16,262.68,14826647
"ORLY","Month","Mar 31, 2016",263.18,277.68,258.55,273.66,17234978
"ORLY","Month","Feb 29, 2016",260.32,269.,226.51,260.32,24248425
"ORLY","Month","Jan 29, 2016",248.45,261.27,225.12,260.9,19264151
"ORLY","Month","Dec 31, 2015",264.96,267.19,246.88,253.42,19228652
"ORLY","Month","Nov 30, 2015",276.38,277.66,258.64,263.87,12278251
"ORLY","Month","Oct 30, 2015",251.,277.96,246.12,276.26,15745995
"ORLY","Month","Sep 30, 2015",235.69,255.57,230.91,250.,17097238
"ORLY","Month","Aug 31, 2015",241.3,258.15,226.05,240.07,14594308
"ORLY","Month","Jul 31, 2015",228.01,247.,227.77,240.31,12666491
"ORLY","Month","Jun 30, 2015",220.8,233.84,218.82,225.98,10819446
"ORLY","Month","May 29, 2015",219.,226.,216.41,219.53,10286322
"ORLY","Month","Apr 30, 2015",216.64,230.77,212.15,217.83,12619831
"ORLY","Month","Mar 31, 2015",209.12,220.11,202.44,216.24,12519053
"ORLY","Month","Feb 27, 2015",187.7,214.15,184.76,208.13,14639194
"ORLY","Month","Jan 30, 2015",192.86,195.03,179.,187.36,16961792
"ORLY","Month","Dec 31, 2014",182.72,196.8,180.69,192.62,14649609
"ORLY","Month","Nov 28, 2014",175.65,183.63,175.01,182.74,13455562
"ORLY","Month","Oct 31, 2014",149.97,177.,146.22,175.88,19252961
"ORLY","Month","Sep 30, 2014",156.65,158.63,149.51,150.36,11977677
"ORLY","Month","Aug 29, 2014",150.18,157.18,148.74,155.98,11681888
"ORLY","Month","Jul 31, 2014",150.03,156.37,145.51,150.,15921096
"ORLY","Month","Jun 30, 2014",148.43,154.21,147.21,150.6,10783151
"ORLY","Month","May 30, 2014",148.99,151.2,144.38,147.95,12023721
"ORLY","Month","Apr 30, 2014",148.48,151.26,141.08,148.79,15912685
"ORLY","Month","Mar 31, 2014",150.13,153.05,145.13,148.39,12129230
"ORLY","Month","Feb 28, 2014",133.39,155.94,129.72,150.85,19782735
"ORLY","Month","Jan 31, 2014",128.42,137.28,128.2,130.98,14561502
"ORLY","Month","Dec 31, 2013",124.3,129.99,120.34,128.71,15295503
"ORLY","Month","Nov 29, 2013",124.81,126.4,122.42,124.96,11294600
"ORLY","Month","Oct 31, 2013",127.3,135.62,122.66,123.81,20278735
"ORLY","Month","Sep 30, 2013",123.97,127.97,121.61,127.59,11945122
"ORLY","Month","Aug 30, 2013",126.23,128.45,121.41,122.71,11859625
"ORLY","Month","Jul 31, 2013",113.03,126.14,112.72,125.3,14913193
"ORLY","Month","Jun 28, 2013",109.24,114.06,107.8,112.62,12416732
"ORLY","Month","May 31, 2013",107.5,112.92,106.79,108.85,13158216
"ORLY","Month","Apr 30, 2013",103.13,108.99,97.76,107.32,20772777
"ORLY","Month","Mar 28, 2013",101.68,105.22,101.13,102.44,17888700
"ORLY","Month","Feb 28, 2013",92.86,103.69,92.21,101.79,26143948
"ORLY","Month","Jan 31, 2013",90.66,92.96,87.06,92.65,22109168
"ORLY","Month","Dec 31, 2012",94.68,94.88,87.32,89.42,26656527
"ORLY","Month","Nov 30, 2012",85.95,94.39,85.,94.08,29044385
"ORLY","Month","Oct 31, 2012",83.58,88.45,78.58,85.85,38987671
"ORLY","Month","Sep 28, 2012",84.82,86.49,80.06,83.62,34889184
"ORLY","Month","Aug 31, 2012",86.29,88.9,84.06,84.95,25834805
"ORLY","Month","Jul 31, 2012",84.25,97.,82.46,85.74,37203538
"ORLY","Month","Jun 29, 2012",94.7,102.96,75.61,83.77,40579174
"ORLY","Month","May 31, 2012",105.01,107.13,91.65,95.79,29960321
"ORLY","Month","Apr 30, 2012",91.19,106.82,91.09,105.5,21477999
"ORLY","Month","Mar 30, 2012",86.64,91.79,86.52,91.35,17974945
"ORLY","Month","Feb 29, 2012",81.53,87.36,81.42,86.5,24147827
"ORLY","Month","Jan 31, 2012",80.95,85.32,77.77,81.51,17088295
"ORLY","Month","Dec 30, 2011",77.31,82.17,76.92,79.95,17400055
"ORLY","Month","Nov 30, 2011",74.14,78.99,73.9,77.24,21260022
"ORLY","Month","Oct 31, 2011",66.34,77.35,63.75,76.05,24852094
"ORLY","Month","Sep 30, 2011",64.47,72.,63.39,66.63,31312044
"ORLY","Month","Aug 31, 2011",59.08,66.02,56.25,64.88,58435766
"ORLY","Month","Jul 29, 2011",65.61,66.52,58.32,59.5,29222612
"ORLY","Month","Jun 30, 2011",59.9,65.63,58.58,65.51,26252801
"ORLY","Month","May 31, 2011",59.27,61.29,57.11,60.11,25683467
"ORLY","Month","Apr 29, 2011",57.6,59.5,54.98,59.06,21554740
"ORLY","Month","Mar 31, 2011",55.62,58.55,54.5,57.46,21267196
"ORLY","Month","Feb 28, 2011",57.31,59.35,53.33,55.58,27554548
"ORLY","Month","Jan 31, 2011",60.99,61.7,55.6,56.83,22746529
"ORLY","Month","Dec 31, 2010",60.74,63.05,59.21,60.42,23102733
"ORLY","Month","Nov 30, 2010",58.65,61.,56.93,60.18,21835383
"ORLY","Month","Oct 29, 2010",53.67,58.6,52.4,58.5,24058569
"ORLY","Month","Sep 30, 2010",47.5,54.19,47.5,53.2,21761575
"ORLY","Month","Aug 31, 2010",49.88,49.9,45.74,47.27,30286625
"ORLY","Month","Jul 30, 2010",47.45,50.17,45.65,49.28,30360204
"ORLY","Month","Jun 30, 2010",50.93,51.6,47.23,47.56,28837378
"ORLY","Month","May 28, 2010",48.78,51.7,45.22,51.02,39561282
"ORLY","Month","Apr 30, 2010",41.81,50.09,41.3,48.87,35170070
"ORLY","Month","Mar 31, 2010",39.29,43.,38.88,41.71,31525233
"ORLY","Month","Feb 26, 2010",38.05,40.98,37.58,39.3,39914866
"ORLY","Month","Jan 29, 2010",39.24,39.46,37.47,37.8,23827941
"ORLY","Month","Dec 31, 2009",39.,39.72,36.91,38.12,23609883
"ORLY","Month","Nov 30, 2009",37.39,40.4,36.83,38.78,36549692
"ORLY","Month","Oct 30, 2009",36.66,38.5,33.61,37.28,82684485
"ORLY","Month","Sep 30, 2009",38.02,38.65,35.7,36.14,43497427
"ORLY","Month","Aug 31, 2009",40.24,40.44,35.86,38.28,44128669
"ORLY","Month","Jul 31, 2009",38.43,42.92,36.83,40.66,46000214
"ORLY","Month","Jun 30, 2009",36.52,38.87,34.91,38.08,38368305
"ORLY","Month","May 29, 2009",38.17,38.69,34.85,36.05,39997652
"ORLY","Month","Apr 30, 2009",34.4,40.5,33.69,38.85,50830992
"ORLY","Month","Mar 31, 2009",32.7,36.17,31.44,35.01,89953395
"ORLY","Month","Feb 27, 2009",28.82,33.8,26.83,33.36,70610569
"ORLY","Month","Jan 30, 2009",30.59,31.58,26.47,29.07,34933001
"ORLY","Month","Dec 31, 2008",26.02,31.18,23.68,30.74,48251962
"ORLY","Month","Nov 28, 2008",27.1,27.54,21.36,26.07,28316275
"ORLY","Month","Oct 31, 2008",26.57,27.61,20.,27.11,44238731
"ORLY","Month","Sep 30, 2008",29.71,30.38,26.14,26.77,38436566
"ORLY","Month","Aug 29, 2008",25.48,29.98,25.15,29.12,36120571
"ORLY","Month","Jul 31, 2008",22.3,26.64,21.92,25.54,59319635
