"Ticker","Period","Date","Open","High","Low","Close","Volume"
"WMT","Week","Aug 22, 2023",157.6300048828125,158.83999633789062,156.24000549316406,157.00999450683594,10771828
"WMT","Week","Aug 18, 2023",162.,162.77999877929688,155.02000427246094,157.92999267578125,47974380
"WMT","Week","Aug 11, 2023",159.5,162.10000610351562,159.11000061035156,161.1999969482422,22620678
"WMT","Week","Aug 4, 2023",159.9600067138672,160.63999938964844,157.9600067138672,158.33999633789062,21648894
"WMT","Week","Jul 28, 2023",159.2899932861328,160.94000244140625,159.2899932861328,159.91000366210938,3673955
"WMT","Week","Jul 21, 2023",154.39999389648438,158.77999877929688,153.75,158.3699951171875,22632351
"WMT","Week","Jul 14, 2023",154.55999755859375,155.88999938964844,153.5800018310547,154.66000366210938,21075994
"WMT","Week","Jul 7, 2023",156.80999755859375,159.1199951171875,153.4499969482422,153.49000549316406,20145213
"WMT","Week","Jun 30, 2023",155.64999389648438,157.52999877929688,153.13999938964844,157.17999267578125,28564406
"WMT","Week","Jun 23, 2023",154.6999969482422,156.2899932861328,153.36000061035156,155.4600067138672,23847298
"WMT","Week","Jun 16, 2023",153.42999267578125,158.22999572753906,153.1649932861328,155.52999877929688,34797924
"WMT","Week","Jun 9, 2023",149.3699951171875,153.72000122070312,148.50999450683594,153.08999633789062,29768802
"WMT","Week","Jun 2, 2023",146.3000030517578,149.01499938964844,145.00999450683594,148.82000732421875,28430273
"WMT","Week","May 26, 2023",149.6999969482422,150.0800018310547,145.08999633789062,146.4199981689453,29985258
"WMT","Week","May 19, 2023",151.39999389648438,151.4600067138672,149.11199951171875,149.91000366210938,9198037
"WMT","Week","May 12, 2023",151.27,154.35,151.06,153.07,24670054
"WMT","Week","May 5, 2023",151.04,152.54,149.46,151.77,21213968
"WMT","Week","Apr 28, 2023",151.71,153.75,150.18,150.97,23561961
"WMT","Week","Apr 21, 2023",151.96,152.3,151.18,151.73,8445244
"WMT","Week","Apr 14, 2023",148.8,151.12,148.15,148.48,28576349
"WMT","Week","Mar 31, 2023",142.79,148.44,142.78,147.45,38340915
"WMT","Week","Mar 24, 2023",141.01,142.47,140.6,141.8,7584272
"WMT","Week","Mar 17, 2023",136.68,139.81,136.58,139.4,52937321
"WMT","Week","Mar 10, 2023",140.5,141.68,136.09,136.97,29559948
"WMT","Week","Mar 3, 2023",142.71,143.09,139.37,140.67,26852941
"WMT","Week","Feb 24, 2023",140.84,142.74,139.53,142.47,6874531
"WMT","Week","Feb 17, 2023",144.71,147.13,144.18,146.44,28536275
"WMT","Week","Feb 10, 2023",141.82,143.94,138.69,143.72,24518071
"WMT","Week","Feb 3, 2023",142.12,145.61,140.86,141.71,25937464
"WMT","Week","Jan 27, 2023",140.46,159.88,140.2,143.3,24514247
"WMT","Week","Jan 20, 2023",145.29,145.71,138.17,140.54,28227313
"WMT","Week","Jan 13, 2023",146.32,147.86,143.73,145.29,23578280
"WMT","Week","Jan 6, 2023",142.55,147.55,142.07,146.78,21698274
"WMT","Week","Dec 30, 2022",144.04,144.45,140.81,141.79,15323196
"WMT","Week","Dec 23, 2022",143.01,145.94,141.73,143.77,22812393
"WMT","Week","Dec 16, 2022",145.9,150.2,142.57,142.75,40345605
"WMT","Week","Dec 9, 2022",152.75,153.,145.22,145.31,34408728
"WMT","Week","Dec 2, 2022",152.72,154.64,150.73,153.22,35441790
"WMT","Week","Nov 25, 2022",150.61,153.37,150.19,153.07,21251238
"WMT","Week","Nov 18, 2022",141.64,150.27,138.27,150.23,63484160
"WMT","Week","Nov 11, 2022",141.26,144.07,139.21,142.58,27315440
