"Ticker","Period","Date","Open","High","Low","Close","Volume"
"AAPL","Month","Aug 4, 2023",196.23500061035156,196.72999572753906,181.9199981689453,181.99000549316406,263870876
"AAPL","Month","Jul 31, 2023",193.77999877929688,198.22999572753906,186.60000610351562,196.4499969482422,996368613
"AAPL","Month","Jun 30, 2023",177.6999969482422,194.47999572753906,176.93099975585938,193.97000122070312,1297863403
"AAPL","Month","May 31, 2023",169.27999877929688,179.35000610351562,164.30999755859375,177.25,1275364523
"AAPL","Month","Apr 28, 2023",164.27000427246094,169.85000610351562,159.77999877929688,169.67999267578125,969776368
"AAPL","Month","Mar 31, 2023",162.44000244140625,165.,161.91000366210938,164.89999389648438,68749792
"AAPL","Month","Feb 28, 2023",147.05,149.08,146.83,147.41,50546998
"AAPL","Month","Jan 31, 2023",130.28,147.23,124.17,144.29,1443652725
"AAPL","Month","Dec 30, 2022",148.21,150.92,125.87,129.93,1675731304
"AAPL","Month","Nov 30, 2022",155.08,155.45,134.38,148.03,1724948219
"AAPL","Month","Oct 31, 2022",138.21,157.5,134.37,153.34,1868381344
"AAPL","Month","Sep 30, 2022",156.64,164.26,138.,138.2,2084775201
"AAPL","Month","Aug 31, 2022",161.01,176.15,157.14,157.22,1510324936
"AAPL","Month","Jul 29, 2022",136.04,163.63,135.66,162.51,1447364668
"AAPL","Month","Jun 30, 2022",149.9,151.74,129.04,136.72,1749297959
"AAPL","Month","May 31, 2022",156.71,166.48,132.61,148.84,2401040455
"AAPL","Month","Apr 29, 2022",174.03,178.49,155.38,157.65,1687873175
"AAPL","Month","Mar 31, 2022",164.7,179.61,150.1,174.61,2180882413
"AAPL","Month","Feb 28, 2022",174.01,176.65,152.,165.12,1629275348
"AAPL","Month","Jan 31, 2022",177.83,182.94,154.7,174.78,2109283280
"AAPL","Month","Dec 31, 2021",167.48,182.13,157.8,177.57,2445627956
"AAPL","Month","Nov 30, 2021",148.99,165.7,147.48,165.3,1691028845
"AAPL","Month","Oct 29, 2021",141.9,153.16,138.27,149.8,1565079040
"AAPL","Month","Sep 30, 2021",152.83,157.26,141.27,141.5,1797948421
"AAPL","Month","Aug 31, 2021",146.36,153.49,144.5,151.83,1463302097
"AAPL","Month","Jul 30, 2021",136.6,150.,135.76,145.86,1919127917
"AAPL","Month","Jun 30, 2021",125.08,137.41,123.13,136.96,1606590029
"AAPL","Month","May 28, 2021",132.04,134.07,122.25,124.61,1711935110
"AAPL","Month","Apr 30, 2021",123.66,137.07,122.49,131.46,1889956694
"AAPL","Month","Mar 31, 2021",123.75,128.72,116.21,122.15,2650845211
"AAPL","Month","Feb 26, 2021",133.75,137.88,118.39,121.26,1834022593
"AAPL","Month","Jan 29, 2021",133.52,145.09,126.38,131.96,2240876988
"AAPL","Month","Dec 31, 2020",121.01,138.79,120.01,132.69,2323295253
"AAPL","Month","Nov 30, 2020",109.11,121.99,107.32,119.05,2123372382
"AAPL","Month","Oct 30, 2020",117.64,125.39,107.72,108.86,2895317580
"AAPL","Month","Sep 30, 2020",132.76,137.98,103.1,115.81,3886793083
"AAPL","Month","Aug 31, 2020",108.2,131.,107.89,129.04,4070343744
"AAPL","Month","Jul 31, 2020",91.28,106.42,89.14,106.26,3020454756
"AAPL","Month","Jun 30, 2020",79.44,93.1,79.3,91.2,3243603560
"AAPL","Month","May 29, 2020",71.56,81.06,71.46,79.49,2806640088
"AAPL","Month","Apr 30, 2020",61.62,73.63,59.22,73.45,3266123232
"AAPL","Month","Mar 31, 2020",70.57,76.,53.15,63.57,6281326928
"AAPL","Month","Feb 28, 2020",76.07,81.81,64.09,68.34,3020892924
"AAPL","Month","Jan 31, 2020",74.06,81.96,73.19,77.38,2940051432
"AAPL","Month","Dec 31, 2019",66.82,73.49,64.07,73.41,2395485460
"AAPL","Month","Nov 29, 2019",62.38,67.,62.29,66.81,1795689012
"AAPL","Month","Oct 31, 2019",56.27,62.44,53.78,62.19,2490606800
"AAPL","Month","Sep 30, 2019",51.61,56.6,51.06,55.99,2189633952
"AAPL","Month","Aug 30, 2019",53.47,54.51,48.15,52.19,2732009500
"AAPL","Month","Jul 31, 2019",50.79,55.34,49.6,53.26,1895828484
"AAPL","Month","Jun 28, 2019",43.9,50.39,42.57,49.48,2060875072
"AAPL","Month","May 31, 2019",52.47,53.83,43.75,43.77,2957826292
"AAPL","Month","Apr 30, 2019",47.91,52.12,47.1,50.17,2024471248
"AAPL","Month","Mar 29, 2019",43.57,49.42,42.38,47.49,2603925536
"AAPL","Month","Feb 28, 2019",41.74,43.97,41.48,43.29,1890162892
"AAPL","Month","Jan 31, 2019",38.72,42.25,35.5,41.61,3312396716
"AAPL","Month","Dec 31, 2018",46.12,46.24,36.65,39.44,3595668028
"AAPL","Month","Nov 30, 2018",54.76,55.59,42.56,44.65,3845287788
"AAPL","Month","Oct 31, 2018",56.99,58.37,51.52,54.72,3158992272
"AAPL","Month","Sep 28, 2018",57.1,57.42,53.83,56.44,2715888160
"AAPL","Month","Aug 31, 2018",49.78,57.22,49.33,56.91,2801275348
"AAPL","Month","Jul 31, 2018",45.96,48.99,45.85,47.57,1575375524
"AAPL","Month","Jun 29, 2018",47.,48.55,45.18,46.28,2110497460
"AAPL","Month","May 31, 2018",41.6,47.59,41.32,46.72,2483904824
"AAPL","Month","Apr 30, 2018",41.97,44.73,40.16,41.31,2665440588
"AAPL","Month","Mar 29, 2018",44.63,45.88,41.24,41.94,2854909788
"AAPL","Month","Feb 28, 2018",41.79,45.15,37.56,44.53,3711577892
"AAPL","Month","Jan 31, 2018",42.54,45.03,41.17,41.86,2638717760
"AAPL","Month","Dec 29, 2017",42.49,44.3,41.62,42.31,2124736232
"AAPL","Month","Nov 30, 2017",42.47,44.06,41.32,42.96,2402653484
"AAPL","Month","Oct 31, 2017",38.56,42.41,38.12,42.26,2017164472
"AAPL","Month","Sep 29, 2017",41.2,41.24,37.29,38.53,2721768368
"AAPL","Month","Aug 31, 2017",37.28,41.13,37.1,41.,2644275652
"AAPL","Month","Jul 31, 2017",36.22,38.5,35.6,37.18,1688047324
"AAPL","Month","Jun 30, 2017",38.29,38.99,35.55,36.01,2736712144
"AAPL","Month","May 31, 2017",36.28,39.16,36.07,38.19,2616091604
"AAPL","Month","Apr 28, 2017",35.93,36.37,35.01,35.91,1493216360
"AAPL","Month","Mar 31, 2017",34.47,36.12,34.26,35.92,2248364856
"AAPL","Month","Feb 28, 2017",31.76,34.37,31.75,34.25,2299874188
