"Ticker","Period","Date","Open","High","Low","Close","Volume"
"ABT","Month","Aug 4, 2023",110.70999908447266,111.25,107.13999938964844,107.6500015258789,16614789
"ABT","Month","Jul 31, 2023",108.25,115.83000183105469,105.95999908447266,111.33000183105469,97309644
"ABT","Month","Jun 30, 2023",101.91000366210938,109.33999633789062,100.54000091552734,109.0199966430664,108670525
"ABT","Month","May 31, 2023",110.45999908447266,112.94999694824219,100.37999725341797,102.,92190686
"ABT","Month","Apr 28, 2023",100.80000305175781,112.69999694824219,100.04000091552734,110.47000122070312,111526795
"ABT","Month","Mar 31, 2023",99.91500091552734,101.41000366210938,99.7300033569336,101.26000213623047,6442440
"ABT","Month","Feb 28, 2023",99.84,102.42,99.69,101.72,7877048
"ABT","Month","Jan 31, 2023",110.51,115.69,108.75,110.55,102768575
"ABT","Month","Dec 30, 2022",108.24,112.91,103.13,109.79,91861934
"ABT","Month","Nov 30, 2022",99.62,107.75,95.35,107.58,108138274
"ABT","Month","Oct 31, 2022",97.8,106.67,93.25,98.94,154042503
"ABT","Month","Sep 30, 2022",102.36,109.67,96.67,96.76,116799065
"ABT","Month","Aug 31, 2022",108.38,112.53,101.21,102.65,89964460
"ABT","Month","Jul 29, 2022",108.21,112.,103.76,108.84,93493374
"ABT","Month","Jun 30, 2022",117.85,118.23,101.24,108.65,112197375
"ABT","Month","May 31, 2022",113.5,118.09,104.63,117.46,125859073
"ABT","Month","Apr 29, 2022",118.84,124.36,113.13,113.5,102388951
"ABT","Month","Mar 31, 2022",120.31,123.1,113.88,118.36,123454336
"ABT","Month","Feb 28, 2022",127.37,130.93,114.43,120.62,111247290
"ABT","Month","Jan 31, 2022",139.43,139.83,119.,127.46,155549866
"ABT","Month","Dec 31, 2021",126.48,142.6,125.12,140.74,118130788
"ABT","Month","Nov 30, 2021",128.63,131.6,123.22,125.77,111478258
"ABT","Month","Oct 29, 2021",118.2,129.4,114.4,128.89,110083847
"ABT","Month","Sep 30, 2021",125.72,129.7,117.97,118.13,97663574
"ABT","Month","Aug 31, 2021",121.5,127.3,120.18,126.37,88703681
"ABT","Month","Jul 30, 2021",115.61,121.42,115.48,120.98,99475473
"ABT","Month","Jun 30, 2021",110.15,118.84,105.36,115.93,197861749
"ABT","Month","May 28, 2021",120.55,120.66,115.15,116.65,98378935
"ABT","Month","Apr 30, 2021",120.28,125.42,118.78,120.08,106578516
"ABT","Month","Mar 31, 2021",120.99,123.1,114.74,119.84,120109743
