"Ticker","Period","Date","Open","High","Low","Close","Volume"
"WMT","Month","Aug 4, 2023",159.9499969482422,160.4499969482422,157.9600067138672,158.33999633789062,17304216
"WMT","Month","Jul 31, 2023",156.80999755859375,160.94000244140625,153.4499969482422,159.86000061035156,90731584
"WMT","Month","Jun 30, 2023",146.2100067138672,158.22999572753906,145.94000244140625,157.17999267578125,130117571
"WMT","Month","May 31, 2023",151.0399932861328,154.35000610351562,145.00999450683594,146.8699951171875,135494630
"WMT","Month","Apr 28, 2023",147.72999572753906,153.75,147.02000427246094,150.97000122070312,100632315
"WMT","Month","Mar 31, 2023",146.5800018310547,148.44000244140625,146.47000122070312,147.4499969482422,6955996
"WMT","Month","Feb 28, 2023",141.,142.65,140.95,142.13,6018036
"WMT","Month","Jan 31, 2023",142.32,143.88,141.66,143.87,4701157
"WMT","Month","Dec 30, 2022",152.05,153.61,140.81,141.79,127378355
"WMT","Month","Nov 30, 2022",142.97,154.64,138.27,152.42,151667100
"WMT","Month","Oct 31, 2022",130.24,143.07,128.07,142.33,116898368
"WMT","Month","Sep 30, 2022",132.54,138.25,128.27,129.7,138779731
"WMT","Month","Aug 31, 2022",131.06,142.72,125.12,132.55,207896449
"WMT","Month","Jul 29, 2022",121.94,133.39,120.06,132.05,157646467
"WMT","Month","Jun 30, 2022",128.5,128.92,117.9,121.58,170929925
"WMT","Month","May 31, 2022",154.96,154.99,117.27,128.63,272146707
"WMT","Month","Apr 29, 2022",149.66,160.77,148.84,152.99,142411017
"WMT","Month","Mar 31, 2022",135.87,150.54,135.02,148.92,185885297
"WMT","Month","Feb 28, 2022",139.21,141.99,132.01,135.16,162596335
"WMT","Month","Jan 31, 2022",144.,146.63,133.95,139.81,165755611
"WMT","Month","Dec 31, 2021",140.51,146.53,135.24,144.69,238820839
"WMT","Month","Nov 30, 2021",149.98,152.,140.01,140.63,178109518
"WMT","Month","Oct 29, 2021",139.26,150.55,134.71,149.42,138004539
"WMT","Month","Sep 30, 2021",147.56,149.65,139.25,139.38,151267046
"WMT","Month","Aug 31, 2021",142.83,152.57,141.67,148.1,181447618
"WMT","Month","Jul 30, 2021",140.41,143.86,138.22,142.55,131885345
"WMT","Month","Jun 30, 2021",142.21,142.8,134.4,141.02,169106953
"WMT","Month","May 28, 2021",139.68,144.58,135.76,142.03,174780459
"WMT","Month","Apr 30, 2021",135.94,141.77,135.33,139.91,153126079
"WMT","Month","Mar 31, 2021",131.58,137.59,126.28,135.83,246556675
"WMT","Month","Feb 26, 2021",140.91,147.5,129.86,129.92,185151937
"WMT","Month","Jan 29, 2021",144.3,149.93,140.35,140.49,150198400
"WMT","Month","Dec 31, 2020",153.6,153.66,142.3,144.15,170399102
"WMT","Month","Nov 30, 2020",140.59,153.4,139.03,152.79,137975404
"WMT","Month","Oct 30, 2020",140.8,146.6,137.37,138.75,129013525
"WMT","Month","Sep 30, 2020",141.2,151.33,134.75,139.91,268778437
"WMT","Month","Aug 31, 2020",129.91,141.07,128.27,138.85,230026240
"WMT","Month","Jul 31, 2020",119.45,134.13,118.22,129.4,197455811
"WMT","Month","Jun 30, 2020",123.44,124.41,117.01,119.78,185847305
"WMT","Month","May 29, 2020",121.48,131.99,120.78,124.06,186955894
"WMT","Month","Apr 30, 2020",112.15,133.38,111.8,121.55,207165138
"WMT","Month","Mar 31, 2020",107.6,128.08,102.,113.62,318977186
"WMT","Month","Feb 28, 2020",114.9,119.95,104.37,107.68,132471494
"WMT","Month","Jan 31, 2020",118.86,119.89,112.68,114.49,127841349
"WMT","Month","Dec 31, 2019",119.15,122.12,117.42,118.84,98637163
"WMT","Month","Nov 29, 2019",117.92,125.38,117.07,119.09,116995254
"WMT","Month","Oct 31, 2019",118.85,120.71,114.58,117.26,98992556
